Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KCMH,America/New_York,2012-01-01,32.00,55.04,19.94,46.04,10.36,34.52,48.33,W,6.00,10.00,0.02,,29.68,30.03,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-02,23.00,32.00,17.06,24.80,10.36,24.17,31.07,W,1.00,10.00,0.03,,29.98,30.13,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-03,17.96,23.00,6.98,17.60,3.45,21.86,29.92,NW,1.25,10.00,0.00,,30.15,30.32,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-04,17.60,33.98,10.94,24.08,3.45,14.96,23.02,SW,10.00,10.00,,,29.95,30.25,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-05,28.04,44.06,21.92,28.04,0.00,13.81,,SW,8.00,10.00,,,29.88,30.08,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-06,35.06,57.02,28.04,35.06,5.75,17.26,19.56,S,10.00,10.00,,,29.77,29.89,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-07,37.04,48.92,28.04,35.96,0.00,16.11,,NW,10.00,10.00,,,29.77,30.17,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-08,28.94,42.98,21.02,28.04,0.00,5.75,,N,9.00,10.00,,,30.18,30.34,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-09,30.02,44.96,23.00,26.06,0.00,11.51,,SW,10.00,10.00,,,30.03,30.26,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-10,28.04,50.00,23.00,30.92,0.00,11.51,,S,10.00,10.00,,,29.92,30.10,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-11,33.08,46.40,26.96,44.60,0.00,13.81,,E,4.00,10.00,0.18,,29.41,29.91,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-12,21.02,46.04,15.08,44.96,3.45,29.92,48.33,SW,0.75,10.00,0.34,,29.36,29.60,FEW,mostly clear,VV,overcast,-SN,light snow,+RA,heavy rain,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,BLSN,blowing snow,SQ,squall,,,,,,,,
KCMH,America/New_York,2012-01-13,17.06,19.94,8.06,15.98,9.21,27.62,41.43,SW,1.00,7.00,0.08,2.00,29.60,30.04,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,BLSN,blowing snow,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-14,17.96,21.92,10.04,14.00,0.00,13.81,17.26,W,2.50,10.00,0.01,3.00,30.05,30.20,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-15,8.06,26.06,6.08,15.08,0.00,10.36,,SE,4.00,10.00,,2.00,30.22,30.47,CLR,clear,SCT,partly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-16,21.92,46.94,15.80,42.98,6.90,17.26,25.32,S,2.00,10.00,0.08,1.00,29.92,30.32,CLR,clear,OVC,overcast,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-17,32.00,57.20,24.80,51.08,9.21,40.28,51.79,W,1.75,10.00,0.56,,29.58,30.05,FEW,mostly clear,OVC,overcast,-TSRA,thunderstorm with light rain,-SN,light snow,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-18,21.92,30.92,14.00,24.98,0.00,14.96,21.86,NW,5.00,10.00,0.00,,30.07,30.25,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-19,15.80,32.00,8.60,28.40,5.75,20.71,26.47,S,1.00,10.00,0.05,1.00,29.87,30.13,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-20,8.96,24.80,3.02,21.20,0.00,10.36,17.26,E,2.00,10.00,0.04,1.00,29.93,30.25,FEW,mostly clear,OVC,overcast,-SN,light snow,FZRAPL,freezing rain and ice pellets,-FZRAPL,light freezing rain and ice pellets,-FZRA,light freezing rain,BR,mist,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-21,21.20,28.04,17.06,23.00,3.45,14.96,17.26,N,3.00,10.00,0.17,1.00,29.89,30.25,FEW,mostly clear,OVC,overcast,-PLSN,light ice pellets and snow,-SN,light snow,-PL,light ice pellets,-FZRAPL,light freezing rain and ice pellets,BR,mist,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-22,21.02,42.98,15.80,39.02,0.00,13.81,,SE,1.00,10.00,0.00,,29.90,30.23,FEW,mostly clear,OVC,overcast,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-23,39.02,60.08,30.02,51.08,9.21,32.22,39.13,W,1.75,10.00,0.36,,29.59,29.97,CLR,clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-24,32.00,39.20,24.08,30.92,0.00,16.11,21.86,W,6.00,10.00,,,29.97,30.33,FEW,mostly clear,OVC,overcast,HZ,haze,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-25,30.02,33.98,23.00,30.92,0.00,11.51,,E,5.00,10.00,0.04,,30.14,30.36,FEW,mostly clear,OVC,overcast,-PLRA,light ice pellets and rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-26,33.98,48.92,30.92,48.20,0.00,10.36,17.26,E,0.75,7.00,1.51,,29.44,30.10,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-27,33.80,48.20,30.02,48.20,6.90,23.02,27.62,W,2.00,10.00,0.22,,29.42,30.05,FEW,mostly clear,OVC,overcast,-SN,light snow,-RASN,light rain and snow,RA,rain,-RA,light rain,-DZ,light drizzle,HZ,haze,BR,mist,,,,,,,,,,
KCMH,America/New_York,2012-01-28,30.92,39.02,15.08,33.80,3.45,29.92,37.98,W,1.25,10.00,0.03,,29.89,30.22,CLR,clear,OVC,overcast,-SN,light snow,-SNRA,light snow and rain,-RA,light rain,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-29,28.04,42.08,17.60,28.04,5.75,34.52,44.88,SW,1.50,10.00,0.00,,29.99,30.27,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-30,24.08,48.92,19.94,30.02,0.00,13.81,20.71,S,10.00,10.00,,,30.08,30.30,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-01-31,44.06,60.08,28.04,44.06,8.06,23.02,33.37,SW,7.00,10.00,0.02,,30.01,30.14,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-01,42.08,60.98,37.94,48.20,3.45,14.96,21.86,SW,5.00,10.00,0.03,,29.99,30.07,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-02,33.08,46.04,28.94,37.94,0.00,11.51,,NW,4.00,10.00,,,30.06,30.41,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-03,28.04,50.00,24.98,32.00,0.00,9.21,,SE,7.00,10.00,,,30.32,30.50,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-04,35.06,39.92,30.92,35.96,0.00,10.36,,NE,1.75,10.00,0.19,,30.11,30.30,FEW,mostly clear,OVC,overcast,-SNRA,light snow and rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-05,30.92,46.94,21.02,33.98,0.00,8.06,,N,2.50,10.00,0.00,,30.08,30.26,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-06,24.98,46.94,23.00,30.92,0.00,10.36,,W,5.00,10.00,0.00,0.00,30.11,30.23,NCD,no cloud detected,FEW,mostly clear,BR,mist,IWC10,mist,IWCA10,mist,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-07,30.20,35.96,26.06,28.94,0.00,9.21,,N,7.00,10.00,,,30.15,30.26,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-08,26.96,33.80,21.92,28.94,0.00,11.51,,N,0.75,10.00,0.13,,30.22,30.28,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-09,21.02,33.98,19.04,26.96,0.00,14.96,18.41,SW,8.00,10.00,,,30.19,30.33,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-10,28.94,33.80,17.96,28.94,5.75,12.66,17.26,SW,0.75,10.00,0.12,1.00,29.86,30.19,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-11,15.08,32.00,3.02,30.20,5.75,23.02,29.92,NW,1.00,10.00,0.07,2.00,29.81,30.25,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-12,15.98,28.04,8.06,17.96,5.75,20.71,26.47,W,6.00,10.00,0.00,3.00,30.20,30.26,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-13,17.06,35.06,14.00,19.94,0.00,11.51,,SW,10.00,10.00,,,30.00,30.23,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-14,32.00,35.96,19.94,33.98,0.00,11.51,,S,0.50,10.00,0.17,1.00,29.88,30.08,FEW,mostly clear,OVC,overcast,SN,snow,-SN,light snow,-RA,light rain,FG,fog,BR,mist,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-15,33.98,46.04,28.94,35.96,3.45,12.66,,SW,7.00,10.00,0.01,,30.07,30.26,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-16,41.00,48.92,35.06,46.40,0.00,16.11,,W,1.50,10.00,0.31,,29.95,30.13,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-17,33.08,46.04,21.92,35.96,0.00,14.96,19.56,W,4.00,10.00,,,30.08,30.18,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-18,30.92,44.96,21.02,30.02,0.00,16.11,21.86,NW,10.00,10.00,,,30.03,30.15,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-19,24.98,37.94,19.94,23.00,3.45,16.11,23.02,NE,10.00,10.00,,,29.99,30.14,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-20,24.80,41.00,19.04,23.00,0.00,8.06,,SE,10.00,10.00,,,30.15,30.35,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-21,33.98,48.92,19.94,39.20,6.90,20.71,29.92,SW,7.00,10.00,0.07,,29.78,30.10,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-22,37.94,57.02,28.94,37.04,5.75,19.56,31.07,SW,10.00,10.00,,,29.42,29.83,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-23,35.96,51.08,30.02,39.92,0.00,12.66,25.32,E,6.00,10.00,0.14,,29.40,29.65,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-24,33.80,48.92,26.06,39.92,0.00,33.37,44.88,W,6.00,10.00,0.00,,29.33,29.86,FEW,mostly clear,OVC,overcast,-SN,light snow,-RA,light rain,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-25,26.96,33.98,14.00,28.40,6.90,25.32,33.37,W,6.00,10.00,0.00,,29.86,30.36,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-26,21.02,48.02,15.98,19.94,0.00,13.81,16.11,S,10.00,10.00,,,30.22,30.44,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-27,32.00,57.92,19.04,30.02,0.00,25.32,31.07,W,10.00,10.00,,,30.20,30.48,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-28,24.08,51.08,19.94,30.02,0.00,9.21,,E,8.00,10.00,0.00,,30.09,30.50,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-02-29,41.00,69.08,26.96,59.00,4.60,24.17,34.52,SW,3.00,10.00,0.64,,29.55,30.05,FEW,mostly clear,OVC,overcast,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,
KCMH,America/New_York,2012-03-01,35.06,48.92,28.04,33.08,0.00,19.56,26.47,W,10.00,10.00,,,29.66,29.90,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-02,33.98,57.92,28.04,53.60,3.45,29.92,42.58,SE,2.00,10.00,0.30,,29.34,29.88,CLR,clear,OVC,overcast,+TSRA,thunderstorm with heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-03,33.98,41.00,21.02,32.00,10.36,27.62,34.52,W,10.00,10.00,,,29.59,29.82,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-04,28.94,35.96,21.92,26.96,3.45,19.56,24.17,W,1.00,10.00,0.01,,29.79,29.90,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-05,26.96,33.08,15.80,26.96,0.00,19.56,24.17,NW,1.50,10.00,0.02,,29.87,30.45,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-06,26.06,59.00,19.04,26.96,3.45,19.56,26.47,S,10.00,10.00,,,30.26,30.46,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-07,48.02,68.00,23.00,42.08,9.21,31.07,41.43,S,10.00,10.00,,,30.16,30.35,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-08,37.04,62.06,26.96,55.40,5.75,26.47,37.98,SW,1.50,10.00,0.81,,29.94,30.22,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-09,30.92,44.06,15.08,30.02,4.60,23.02,29.92,NW,10.00,10.00,,,30.23,30.50,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-10,26.06,48.92,15.08,21.92,0.00,11.51,,S,10.00,10.00,,,30.37,30.56,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-11,32.00,66.92,19.94,35.06,0.00,12.75,19.69,SW,9.94,10.00,,,30.25,30.41,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-12,48.20,60.98,30.92,55.40,0.00,17.26,23.02,S,5.00,10.00,0.37,,29.99,30.24,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-13,53.96,73.04,46.04,57.20,0.00,17.26,23.02,W,8.00,10.00,,,30.00,30.14,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-14,44.96,78.08,41.00,51.98,0.00,13.81,23.02,SW,8.00,10.00,,,30.10,30.20,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-15,57.20,66.02,46.94,57.92,0.00,18.41,25.32,S,2.50,10.00,0.07,,30.08,30.19,CLR,clear,OVC,overcast,TS,thunderstorm,-TSRA,thunderstorm with light rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-16,57.02,71.96,53.06,57.92,0.00,13.81,,S,7.00,10.00,0.14,,30.10,30.18,CLR,clear,OVC,overcast,+RA,heavy rain,-RA,light rain,,,,,,,,,,,,,,,,,,,,
KCMH,America/New_York,2012-03-17,53.06,75.02,48.92,57.02,0.00,13.81,18.41,SE,8.00,10.00,0.00,,30.11,30.22,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
