Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KPDX,America/Los_Angeles,1989-01-01,41.00,48.02,37.04,39.92,0.00,10.36,,SE,4.00,30.00,0.06,,30.02,30.23,SCT,partly cloudy,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1989-01-02,41.00,50.00,39.92,48.02,0.00,14.96,,SE,1.00,15.00,0.44,,29.98,30.19,SCT,partly cloudy,OVC,overcast,-DZRA,light drizzle and rain,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1989-01-03,48.02,59.00,44.96,48.92,5.75,14.96,,S,10.00,40.00,,,30.04,30.20,SCT,partly cloudy,OVC,overcast,-DZ,light drizzle,,,,,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1989-01-04,39.02,50.00,37.94,46.04,3.45,13.81,,NW,2.00,25.00,0.27,,29.91,30.03,SCT,partly cloudy,OVC,overcast,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1989-01-05,37.04,44.06,33.08,37.94,0.00,9.21,,SW,6.00,30.00,0.06,,29.92,30.06,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,FG,fog,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1989-01-06,33.98,41.00,32.00,35.06,0.00,13.81,,SW,10.00,25.00,0.03,,30.06,30.15,SCT,partly cloudy,OVC,overcast,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1989-01-07,28.04,39.02,28.04,33.98,0.00,11.51,,S,6.00,15.00,,,30.15,30.30,SCT,partly cloudy,OVC,overcast,PL,ice pellets,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1989-01-08,35.06,48.02,32.00,46.04,8.06,21.86,28.77,S,2.00,25.00,0.31,,30.02,30.27,SCT,partly cloudy,OVC,overcast,-DZRA,light drizzle and rain,-RA,light rain,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1989-01-09,42.08,51.98,37.04,48.92,4.60,17.26,23.02,SW,6.00,15.00,0.67,,29.85,30.13,SCT,partly cloudy,OVC,overcast,RA,rain,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1989-01-10,37.04,46.04,33.98,39.92,0.00,16.11,,W,15.00,20.00,,,30.00,30.47,SCT,partly cloudy,OVC,overcast,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
