Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KPDX,America/Los_Angeles,1990-01-01,35.96,46.04,33.08,44.06,0.00,14.96,,S,7.00,20.00,0.20,,29.93,30.05,SCT,partly cloudy,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1990-01-02,35.96,48.02,33.98,41.00,0.00,10.36,,SW,15.00,40.00,0.03,,30.05,30.28,SCT,partly cloudy,OVC,overcast,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1990-01-03,41.00,48.02,37.04,39.02,0.00,19.56,,S,15.00,35.00,,,30.26,30.31,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1990-01-04,46.04,53.06,37.94,46.94,0.00,25.32,27.62,S,10.00,30.00,0.11,,30.14,30.29,SCT,partly cloudy,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1990-01-05,48.02,55.94,46.04,50.00,4.60,20.71,20.71,S,7.00,25.00,0.37,,30.08,30.29,SCT,partly cloudy,OVC,overcast,-RA,light rain,-DZ,light drizzle,,,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1990-01-06,46.04,53.96,44.96,50.00,4.60,32.22,48.33,SE,2.00,25.00,0.91,,29.57,30.13,SCT,partly cloudy,OVC,overcast,RA,rain,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1990-01-07,44.96,53.96,44.06,51.08,5.75,29.92,41.43,S,4.00,20.00,0.97,,29.41,29.87,SCT,partly cloudy,OVC,overcast,RA,rain,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1990-01-08,46.04,55.94,39.92,53.96,3.45,43.73,60.99,SW,2.00,30.00,0.80,,29.41,30.09,SCT,partly cloudy,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1990-01-09,42.08,60.98,41.00,53.96,0.00,40.28,54.09,S,3.00,35.00,0.80,,29.73,30.20,SCT,partly cloudy,OVC,overcast,RA,rain,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,
KPDX,America/Los_Angeles,1990-01-10,39.02,44.96,37.94,42.08,0.00,10.36,,E,6.00,15.00,0.02,,30.21,30.40,SCT,partly cloudy,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
