Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KPHL,America/New_York,2000-01-01,32.00,44.06,32.00,41.00,0.00,10.36,,SE,0.19,9.94,,,30.22,30.29,FEW,mostly clear,OVC,overcast,FG,fog,BR,mist,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-02,37.04,64.04,35.60,50.00,0.00,18.41,24.17,SW,1.99,10.00,0.00,0.00,30.02,30.23,FEW,mostly clear,OVC,overcast,HZ,haze,IWC05,haze,BR,mist,IWC10,mist,IWC45,sky-obscuring fog,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-03,55.04,62.96,51.08,53.96,3.45,11.51,20.71,SW,6.00,10.00,,,29.98,30.12,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-04,46.94,66.92,33.98,57.92,6.90,25.32,33.37,S,2.50,10.00,0.79,,29.59,29.95,CLR,clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-05,30.92,46.04,15.08,32.00,4.60,24.17,29.92,NW,10.00,10.00,,,29.79,30.54,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-06,26.96,44.96,17.06,32.00,0.00,10.36,,S,10.00,10.00,,,30.39,30.62,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-07,30.02,51.08,17.06,35.06,0.00,27.62,33.37,W,0.25,10.00,,,30.12,30.36,CLR,clear,VV,overcast,FG,fog,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-08,28.94,39.92,17.06,26.96,0.00,9.21,,W,10.00,10.00,,,30.20,30.43,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-09,37.94,46.94,26.96,37.94,0.00,12.66,,S,8.00,10.00,0.00,,29.99,30.20,SCT,partly cloudy,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-10,42.80,59.00,39.02,55.94,0.00,31.07,46.03,SW,0.75,10.00,0.36,,29.35,29.99,CLR,clear,OVC,overcast,-RA,light rain,DZ,drizzle,BR,mist,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-11,39.02,51.98,21.02,35.60,10.36,31.07,50.63,W,10.00,10.00,0.00,,29.58,29.94,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-12,35.60,46.04,19.04,26.06,0.00,20.80,28.86,W,9.94,10.00,0.00,0.00,29.94,30.21,NCD,no cloud detected,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-13,21.02,44.96,5.00,37.94,0.00,25.32,39.13,N,2.50,10.00,0.08,,29.66,30.27,CLR,clear,OVC,overcast,+TSGSRA,thunderstorm with heavy small hail and rain,-TSRA,thunderstorm with light rain,RA,rain,-RA,light rain,HZ,haze,BR,mist,,,,,,,,,,,,
KPHL,America/New_York,2000-01-14,17.96,26.96,-4.00,5.00,5.75,28.77,36.82,NW,10.00,10.00,,,30.29,30.63,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2000-01-15,19.04,32.00,6.08,17.96,3.45,10.36,,NW,10.00,10.00,,,30.46,30.73,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
