Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KPHL,America/New_York,2012-01-01,35.96,53.06,32.00,42.98,0.00,19.56,25.32,S,10.00,10.00,0.02,,29.74,30.13,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-02,33.08,48.02,8.06,28.94,10.29,23.04,38.03,W,9.94,10.00,0.00,0.00,29.78,29.89,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-03,19.04,33.08,-2.92,17.96,9.21,32.22,41.43,NW,10.00,10.00,0.00,,29.89,30.22,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-04,14.00,30.20,-5.08,24.80,3.45,13.81,23.02,SW,1.50,10.00,0.01,,30.00,30.31,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-05,28.40,39.92,19.40,24.98,0.00,17.26,27.62,W,10.00,10.00,,,29.93,30.01,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-06,28.94,55.94,21.20,30.02,0.00,14.96,,SW,10.00,10.00,,,29.80,29.98,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-07,35.06,62.06,23.00,35.96,4.60,14.96,,SW,10.00,10.00,,,29.76,30.03,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-08,33.98,48.02,17.96,24.98,5.75,14.96,17.26,NW,10.00,10.00,,,30.06,30.35,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-09,30.92,39.92,10.40,30.02,0.00,10.36,,S,8.00,10.00,,,30.03,30.36,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-10,32.00,48.92,24.08,30.92,0.00,17.26,26.47,W,5.00,10.00,,,29.95,30.06,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-11,28.94,48.92,26.06,42.08,0.00,16.11,21.86,E,5.00,10.00,0.36,,29.71,30.10,CLR,clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-12,42.08,51.98,39.92,51.80,0.00,19.56,27.62,E,1.25,10.00,0.68,,29.39,29.64,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,BCFG,patches of fog,,,,,,,,,,,,
KPHL,America/New_York,2012-01-13,28.94,51.80,10.04,44.60,8.06,34.52,40.28,W,5.00,10.00,0.05,,29.31,29.92,CLR,clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-14,26.96,35.06,10.94,15.98,6.90,18.41,27.62,W,10.00,10.00,,,29.94,30.13,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-15,17.96,28.04,-0.94,17.60,4.60,19.56,23.02,N,6.00,10.00,0.00,,30.15,30.61,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-16,17.96,37.94,1.04,30.20,3.45,17.26,24.17,S,8.00,10.00,0.03,,30.19,30.63,CLR,clear,OVC,overcast,-PL,light ice pellets,-RA,light rain,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-17,37.04,55.04,30.20,46.94,8.06,19.56,31.07,SW,3.00,10.00,0.28,,29.62,30.17,CLR,clear,OVC,overcast,-RASN,light rain and snow,RA,rain,-RA,light rain,HZ,haze,BR,mist,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-18,26.06,53.06,6.80,46.04,6.90,26.47,36.82,NW,10.00,10.00,0.02,,29.66,30.21,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-19,19.94,37.04,6.98,21.92,4.60,12.66,,S,10.00,10.00,,,29.97,30.25,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-20,28.04,35.96,1.94,24.08,3.45,19.56,19.56,NW,10.00,10.00,,,29.98,30.32,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KPHL,America/New_York,2012-01-21,24.80,30.92,6.98,28.40,6.90,18.41,23.02,NE,0.50,10.00,0.38,,29.97,30.31,FEW,mostly clear,OVC,overcast,SN,snow,-SN,light snow,-SNPL,light snow and ice pellets,-FZRAPL,light freezing rain and ice pellets,-FZRASN,light freezing rain and snow,-FZDZ,light freezing drizzle,-FZRA,light freezing rain,FZFG,freezing fog,BR,mist,,,,,,
KPHL,America/New_York,2012-01-22,19.40,33.98,10.94,30.92,3.45,14.96,,NE,8.00,10.00,,,30.35,30.52,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
