Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KFSD,America/Chicago,1990-01-01,6.08,33.98,3.02,21.92,4.60,19.56,29.92,S,15.00,15.00,,,29.85,30.12,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-02,19.04,37.94,15.08,26.96,4.60,17.26,,S,15.00,15.00,,,29.63,29.86,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-03,23.00,33.08,19.04,26.96,4.60,18.41,24.17,N,7.00,15.00,,,29.63,29.98,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-04,15.98,32.00,10.94,19.94,4.60,13.81,,W,10.00,15.00,,,29.94,30.11,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-05,14.00,35.96,10.94,21.92,0.00,16.11,,NW,7.00,15.00,,,29.90,30.17,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-06,10.04,44.06,8.06,24.98,3.45,21.86,26.47,SW,7.00,15.00,,,29.86,30.17,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-07,21.92,46.94,19.94,30.92,0.00,24.17,29.92,S,15.00,15.00,,,29.61,29.90,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-08,32.00,44.96,24.98,32.00,0.00,17.26,,W,10.00,15.00,0.03,,29.38,29.62,FEW,mostly clear,OVC,overcast,-RA,light rain,-SHRA,showers of light rain,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-09,21.92,37.94,21.02,32.00,3.45,21.86,27.62,NW,5.00,15.00,,,29.55,30.01,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-10,23.00,53.96,21.92,35.96,0.00,34.52,50.63,NW,4.00,15.00,,,29.58,29.96,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-11,24.98,35.96,6.08,24.08,24.17,41.43,57.54,NW,3.00,15.00,,,29.82,30.16,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-12,12.02,26.06,-0.04,6.08,0.00,33.37,46.03,NW,7.00,15.00,,,30.19,30.44,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-13,12.92,42.08,5.00,10.94,0.00,29.92,39.13,S,10.00,15.00,,,29.68,30.29,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-14,19.04,48.92,12.02,24.98,0.00,11.51,,W,15.00,15.00,,,29.65,29.84,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-15,19.94,51.08,17.96,30.92,0.00,11.51,,NE,15.00,15.00,,,29.86,30.05,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-16,23.00,30.92,19.04,30.02,0.00,17.26,,NE,0.25,15.00,0.01,,29.83,30.02,CLR,clear,OVC,overcast,-FZDZ,light freezing drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-17,19.94,30.92,17.06,28.94,5.75,21.86,,NW,2.00,15.00,,,29.87,30.25,SCT,partly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-18,17.06,32.00,14.00,21.02,3.45,20.71,,NW,10.00,15.00,,,30.26,30.42,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-19,21.92,35.06,17.06,23.00,5.75,18.41,,S,10.00,15.00,,,30.03,30.32,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-20,17.06,28.94,15.08,21.02,3.45,16.11,,NE,8.00,15.00,,,29.88,30.01,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-21,12.92,46.04,10.04,26.06,3.45,24.17,,W,10.00,15.00,,,29.71,29.91,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-22,24.08,42.08,21.92,28.94,3.45,11.51,,W,15.00,15.00,,,29.71,29.94,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-23,21.02,44.96,19.94,33.98,0.00,27.62,34.52,NW,3.00,15.00,,,29.38,29.67,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-24,21.92,32.00,17.06,26.96,3.45,21.86,28.77,NW,4.00,15.00,0.01,,29.56,29.92,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-25,14.00,37.04,12.02,21.92,3.45,21.86,23.02,NW,15.00,15.00,,,29.75,29.91,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-26,17.96,44.96,10.94,28.94,3.45,13.81,,S,10.00,15.00,,,29.42,29.76,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-27,21.92,37.94,10.94,32.00,5.75,32.22,43.73,N,4.00,15.00,0.03,,29.45,30.02,CLR,clear,OVC,overcast,-SN,light snow,-RASN,light rain and snow,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-28,17.06,44.06,12.92,19.94,9.21,23.02,27.62,SW,15.00,15.00,,,29.77,30.00,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-29,19.04,48.92,15.08,23.00,0.00,31.07,42.58,S,15.00,15.00,,,29.37,29.77,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-30,3.92,35.06,-5.08,23.00,8.06,31.07,40.28,NW,7.00,15.00,,,29.56,30.02,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-01-31,12.92,35.96,3.02,21.92,6.90,18.41,25.32,SE,15.00,15.00,,,29.69,29.95,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-02-01,1.94,12.92,-9.04,5.00,10.36,20.71,,N,10.00,15.00,,,29.85,30.14,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-02-02,1.04,19.94,-7.96,12.02,0.00,13.81,,NE,7.00,15.00,,,30.03,30.10,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,1990-02-03,3.92,37.94,1.94,19.94,0.00,14.96,,SW,4.00,15.00,,,30.02,30.12,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
