Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KFSD,America/Chicago,2015-01-01,12.92,28.94,8.06,21.02,0.00,16.11,20.71,W,10.00,10.00,,3.00,29.94,30.15,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-02,23.00,26.96,17.06,21.02,3.45,18.41,,S,10.00,10.00,,3.00,29.87,30.17,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-03,1.94,24.98,-5.98,19.94,0.00,32.22,41.43,N,0.50,10.00,0.02,3.00,29.72,30.24,CLR,clear,VV,overcast,SN,snow,-SN,light snow,BLSN,blowing snow,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-04,-7.06,1.94,-14.98,-7.06,6.90,27.62,39.13,NW,2.50,10.00,,3.00,30.24,30.60,CLR,clear,OVC,overcast,HZ,haze,BLSN,blowing snow,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-05,-9.94,8.96,-16.96,3.92,0.00,13.81,,SE,0.12,10.00,0.36,8.00,30.06,30.61,CLR,clear,VV,overcast,+SN,heavy snow,SN,snow,-SN,light snow,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-06,-9.94,8.96,-14.08,1.04,0.00,23.02,28.77,NW,1.75,10.00,0.00,7.00,30.38,30.73,CLR,clear,OVC,overcast,-SN,light snow,BLSN,blowing snow,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-07,-9.04,1.04,-16.06,-7.96,3.45,23.02,27.62,NW,10.00,10.00,,6.00,30.40,31.01,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-08,1.94,21.92,-7.06,15.98,6.90,41.43,56.39,NW,0.06,10.00,0.01,6.00,29.77,30.35,CLR,clear,VV,overcast,-SN,light snow,BLSN,blowing snow,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-09,-2.92,6.08,-7.96,-4.00,3.45,26.47,35.67,NW,8.00,10.00,,5.00,30.28,30.43,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-10,-2.02,24.08,-7.96,15.08,0.00,14.96,,S,10.00,10.00,,5.00,29.91,30.25,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-11,1.04,17.06,-4.00,6.08,0.00,11.51,,N,10.00,10.00,,5.00,30.13,30.44,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-12,-13.00,15.08,-16.96,-0.94,0.00,12.66,,N,10.00,10.00,,4.00,30.45,30.74,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-13,-14.80,19.94,-18.40,12.92,0.00,17.26,19.56,S,1.50,10.00,0.00,4.00,30.24,30.68,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-14,12.92,26.06,10.04,19.04,0.00,14.96,,SW,7.00,10.00,0.00,4.00,30.02,30.23,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-15,17.96,35.06,15.98,28.04,0.00,14.96,,W,8.00,10.00,,,29.98,30.10,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-16,14.00,37.04,10.94,28.04,0.00,6.90,,S,3.00,10.00,,,29.60,30.01,CLR,clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-17,26.96,39.92,24.98,30.92,0.00,29.92,41.43,NW,7.00,10.00,,,29.59,29.83,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-18,26.06,46.04,21.02,28.04,0.00,14.96,23.02,SW,10.00,10.00,,,29.83,29.93,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-19,24.98,46.94,21.92,35.06,0.00,14.96,20.71,W,10.00,10.00,0.02,,29.82,29.90,CLR,clear,OVC,overcast,-FZRA,light freezing rain,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-20,28.94,39.02,26.06,30.92,5.75,19.56,24.17,NW,1.50,10.00,0.01,,29.88,30.02,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-21,26.06,30.92,23.00,26.96,3.45,11.51,,NW,2.00,10.00,0.00,,30.03,30.36,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-22,23.00,35.96,19.94,26.06,0.00,17.26,23.02,S,10.00,10.00,,,30.14,30.40,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-23,28.04,42.08,21.02,30.92,3.45,13.81,,NW,10.00,10.00,,,29.93,30.12,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-24,28.94,42.08,26.06,35.60,0.00,13.81,,W,1.50,10.00,0.08,,29.55,29.90,CLR,clear,OVC,overcast,-SN,light snow,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-25,32.00,35.06,30.02,32.00,0.00,18.41,28.77,N,2.00,10.00,0.02,,29.66,30.04,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-26,30.92,48.02,28.94,37.94,0.00,19.56,25.32,NW,10.00,10.00,,,29.78,30.03,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-27,24.08,41.00,21.92,35.06,0.00,13.81,20.71,SE,0.12,10.00,,,29.93,30.09,CLR,clear,VV,overcast,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-28,33.08,44.96,28.94,35.60,0.00,31.07,40.28,S,7.00,10.00,,,29.67,30.01,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-29,21.02,33.98,15.98,28.94,4.60,27.62,36.82,NW,7.00,10.00,0.00,,30.04,30.53,SCT,partly cloudy,OVC,overcast,-FZRA,light freezing rain,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-30,19.04,37.94,15.08,28.04,0.00,20.71,25.32,S,10.00,10.00,,,30.12,30.52,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-01-31,21.92,30.02,19.04,24.98,0.00,24.17,29.92,NE,0.75,10.00,0.22,,30.03,30.14,CLR,clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-01,-5.08,21.92,-9.04,19.94,0.00,28.77,37.98,N,0.25,10.00,0.05,,30.04,30.30,CLR,clear,VV,overcast,+SN,heavy snow,SN,snow,-SN,light snow,BR,mist,BLSN,blowing snow,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-02,-9.40,14.00,-14.80,6.98,0.00,16.11,,S,7.00,10.00,0.00,,29.96,30.27,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-03,1.94,21.02,-0.04,12.92,0.00,12.66,,E,10.00,10.00,0.00,,29.91,30.11,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-04,-7.06,15.98,-9.94,10.94,0.00,18.41,,NW,5.00,10.00,0.00,,30.11,30.45,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-05,-2.92,24.08,-7.06,15.98,3.45,21.86,27.62,S,10.00,10.00,,,30.00,30.38,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-06,17.06,39.02,12.92,28.94,0.00,6.90,,SE,5.00,10.00,,,29.73,29.97,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-07,21.02,46.04,17.96,35.96,0.00,13.81,,W,3.00,10.00,,,29.51,29.70,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-08,28.94,37.04,24.98,33.08,3.45,11.51,,NE,2.00,10.00,0.01,,29.62,30.13,CLR,clear,OVC,overcast,-RA,light rain,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-09,28.40,30.92,24.80,28.94,0.00,17.26,39.13,SE,1.00,10.00,0.00,,30.05,30.23,BKN,mostly cloudy,OVC,overcast,-FZDZ,light freezing drizzle,BR,mist,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-10,24.08,39.92,17.06,35.96,9.21,29.92,36.82,NW,0.75,10.00,0.02,,29.82,30.14,FEW,mostly clear,OVC,overcast,-SN,light snow,-FZDZ,light freezing drizzle,-FZRA,light freezing rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-11,3.92,23.00,-5.08,15.98,13.81,28.77,39.13,NW,7.00,10.00,0.00,,30.17,30.58,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-12,-0.04,17.60,-7.06,10.94,0.00,18.41,23.02,S,1.50,10.00,0.04,,30.17,30.61,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-13,8.96,39.02,5.00,28.04,0.00,18.41,,NW,10.00,10.00,,,30.07,30.14,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-14,3.02,26.06,-9.04,19.94,10.36,27.62,34.52,N,9.00,10.00,0.01,,30.15,30.50,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-15,6.80,17.06,-4.00,5.00,6.90,18.41,23.02,S,9.00,10.00,0.00,,30.18,30.45,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-16,15.08,28.94,5.00,17.96,0.00,17.26,26.47,N,6.00,10.00,0.00,,30.04,30.16,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-17,5.00,17.06,-4.00,12.92,4.60,26.47,34.52,NW,2.50,10.00,0.00,,29.99,30.11,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KFSD,America/Chicago,2015-02-18,-4.00,8.96,-11.92,-4.00,0.00,20.71,25.32,NW,4.00,10.00,0.00,,30.09,30.33,CLR,clear,OVC,overcast,UP,unknown precipitation,,,,,,,,,,,,,,,,,,,,,,
