Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KBNA,America/Chicago,2013-01-01,33.08,42.80,30.02,41.00,0.00,9.21,,N,0.06,7.00,0.35,,30.03,30.15,FEW,mostly clear,VV,overcast,RA,rain,-RA,light rain,-DZ,light drizzle,FG,fog,BR,mist,BCFG,patches of fog,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-02,26.96,35.60,23.00,28.94,0.00,10.36,,N,4.00,10.00,,,30.15,30.25,FEW,mostly clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-03,26.06,44.96,15.98,24.98,0.00,6.90,,NW,4.00,10.00,,,30.23,30.42,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-04,21.92,46.04,19.40,26.60,0.00,6.90,,S,8.00,10.00,,,30.40,30.48,CLR,clear,SCT,partly cloudy,BCFG,patches of fog,,,,,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-05,23.00,46.94,19.40,28.94,0.00,8.06,,S,10.00,10.00,0.00,,30.25,30.42,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-06,28.94,50.00,21.92,33.98,0.00,12.66,21.86,SW,10.00,10.00,,,30.16,30.39,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-07,24.08,48.02,19.40,26.60,0.00,8.06,,N,5.00,10.00,,,30.27,30.45,CLR,clear,CLR,clear,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-08,28.04,60.08,24.08,41.00,0.00,11.51,,S,8.00,10.00,,,30.23,30.35,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-09,48.20,53.96,42.08,51.98,0.00,13.81,18.41,NE,0.25,10.00,0.52,,30.29,30.42,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-10,51.80,64.94,50.00,59.00,3.45,25.32,35.67,S,1.75,10.00,0.62,,30.02,30.40,FEW,mostly clear,OVC,overcast,+RA,heavy rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-11,60.98,69.98,53.60,62.06,5.75,24.17,31.07,S,4.00,10.00,0.06,,29.97,30.08,FEW,mostly clear,OVC,overcast,-RA,light rain,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-12,64.40,69.08,59.00,64.94,0.00,23.02,32.22,S,0.50,10.00,0.50,,29.86,30.05,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,FG,fog,BR,mist,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-13,35.60,68.00,32.00,60.98,0.00,20.71,31.07,S,0.50,10.00,1.76,,29.84,30.23,FEW,mostly clear,OVC,overcast,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-14,28.04,35.60,21.92,30.92,4.60,16.11,27.62,N,4.00,10.00,0.11,,30.22,30.36,FEW,mostly clear,OVC,overcast,PL,ice pellets,-FZRAPL,light freezing rain and ice pellets,-FZRA,light freezing rain,-RA,light rain,BR,mist,UP,unknown precipitation,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-15,30.02,33.98,26.06,32.00,5.75,13.81,,N,2.50,9.00,0.58,,30.02,30.25,SCT,partly cloudy,OVC,overcast,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,
KBNA,America/Chicago,2013-01-16,33.08,35.60,30.20,32.00,0.00,8.06,,N,2.00,6.00,0.37,,30.01,30.14,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
