Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KHOU,America/Chicago,2016-01-01,46.04,51.08,33.98,41.00,9.21,19.56,27.62,N,10.00,10.00,0.01,,30.30,30.45,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-02,46.04,51.98,30.02,39.02,3.45,14.96,,N,10.00,10.00,0.03,,30.30,30.43,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-03,44.60,60.98,28.40,41.00,0.00,10.36,35.67,NW,10.00,10.00,0.04,,30.17,30.32,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-04,39.02,62.60,30.92,35.96,0.00,10.36,,N,10.00,10.00,,,30.22,30.35,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-05,39.02,57.02,33.08,41.00,4.60,12.66,18.41,E,10.00,10.00,,,30.22,30.38,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-06,48.02,62.60,39.02,60.80,0.00,13.81,18.41,E,1.50,10.00,1.23,,29.91,30.22,FEW,mostly clear,OVC,overcast,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,+RA,heavy rain,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,
KHOU,America/Chicago,2016-01-07,55.40,69.08,55.04,60.80,0.00,12.66,17.26,S,2.00,10.00,0.10,,29.82,29.95,FEW,mostly clear,OVC,overcast,TS,thunderstorm,-TSRA,thunderstorm with light rain,TSRA,thunderstorm with rain,BR,mist,BCFG,patches of fog,MIFG,shallow fog,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-08,50.00,69.08,48.92,64.40,0.00,24.17,36.82,E,0.12,10.00,0.24,,29.66,29.88,FEW,mostly clear,VV,overcast,TS,thunderstorm,+TSRA,thunderstorm with heavy rain,-TSRA,thunderstorm with light rain,FG,fog,BR,mist,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-09,44.06,62.96,30.02,60.80,5.75,24.17,34.52,NW,9.00,10.00,,,29.74,30.16,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-10,39.02,51.98,26.96,32.00,0.00,17.26,25.32,N,10.00,10.00,,,30.16,30.34,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-11,37.04,51.98,30.92,41.00,0.00,9.21,,E,10.00,10.00,,,30.18,30.28,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-12,37.94,64.04,33.98,42.98,0.00,6.90,,S,10.00,10.00,,,30.24,30.35,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KHOU,America/Chicago,2016-01-13,39.92,64.94,37.04,48.02,0.00,10.36,,SE,10.00,10.00,,,30.08,30.28,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
