Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KSLC,America/Denver,2000-01-01,21.02,30.92,21.02,26.06,0.00,9.21,,N,0.06,8.08,0.00,0.00,29.73,29.87,FEW,mostly clear,VV,overcast,+SN,heavy snow,HZ,haze,FG,fog,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,
KSLC,America/Denver,2000-01-02,21.20,30.20,14.00,28.40,0.00,12.66,,W,0.25,10.00,0.00,,29.73,30.07,FEW,mostly clear,VV,overcast,SN,snow,-SN,light snow,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,,,
KSLC,America/Denver,2000-01-03,19.40,28.94,12.20,24.80,0.00,20.71,28.77,SE,1.00,10.00,,3.00,30.07,30.50,FEW,mostly clear,OVC,overcast,-SN,light snow,GS,small hail,BR,mist,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2000-01-04,24.80,35.60,14.00,30.20,3.45,16.11,,SE,0.75,10.00,0.03,,30.14,30.49,FEW,mostly clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2000-01-05,26.06,33.80,19.40,30.20,0.00,12.66,,NW,2.00,10.00,,,30.17,30.39,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2000-01-06,15.80,32.00,12.20,21.20,0.00,10.36,,SE,7.00,10.00,,,30.40,30.55,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2000-01-07,19.40,30.20,12.20,26.60,0.00,8.06,,SE,1.50,10.00,,,30.31,30.37,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2000-01-08,24.80,35.60,19.40,30.20,0.00,17.26,,SE,2.00,10.00,,,29.97,30.30,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2000-01-09,26.60,41.00,15.80,24.80,0.00,13.81,,SE,10.00,10.00,,,29.90,30.09,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2000-01-10,32.00,42.80,24.80,30.20,0.00,19.56,,SE,0.25,10.00,0.03,4.00,29.81,30.02,FEW,mostly clear,VV,overcast,SN,snow,-SN,light snow,-RASN,light rain and snow,-RA,light rain,FG,fog,BR,mist,UP,unknown precipitation,,,,,,,,,,
