Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KSLC,America/Denver,2013-01-01,15.08,24.98,10.94,17.06,0.00,6.90,,SE,4.00,9.00,0.00,3.00,30.29,30.42,FEW,mostly clear,OVC,overcast,-SN,light snow,FZDZ,freezing drizzle,-FZDZ,light freezing drizzle,HZ,haze,BR,mist,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-02,10.40,23.00,6.08,12.92,0.00,11.51,,SE,4.00,9.00,0.00,3.00,30.40,30.45,FEW,mostly clear,OVC,overcast,-SN,light snow,-FZDZ,light freezing drizzle,HZ,haze,BR,mist,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-03,8.06,21.02,3.92,10.94,0.00,9.21,,SE,5.00,10.00,0.00,3.00,30.42,30.48,CLR,clear,BKN,mostly cloudy,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-04,8.06,19.94,3.02,10.94,0.00,10.36,,SE,3.00,9.00,0.00,3.00,30.38,30.45,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-05,6.80,19.94,1.40,10.94,0.00,8.06,,N,2.00,8.00,,3.00,30.32,30.50,CLR,clear,SCT,partly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-06,5.00,19.04,3.02,12.92,0.00,9.21,,N,2.00,5.00,,3.00,30.09,30.30,CLR,clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-07,8.06,23.00,6.08,17.06,0.00,14.96,,N,2.00,5.00,0.00,3.00,30.15,30.24,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-08,23.00,30.92,17.06,24.98,0.00,6.90,,N,3.00,6.00,,3.00,30.20,30.39,FEW,mostly clear,OVC,overcast,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-09,19.94,39.02,17.06,24.98,0.00,9.21,,SE,2.00,10.00,,3.00,29.81,30.40,CLR,clear,BKN,mostly cloudy,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-10,23.00,46.94,21.02,28.94,9.21,29.92,39.13,S,0.25,10.00,0.22,6.00,29.55,29.74,FEW,mostly clear,VV,overcast,+SN,heavy snow,SN,snow,-SN,light snow,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-11,17.60,24.08,12.02,21.02,0.00,17.26,21.86,W,0.75,10.00,0.09,8.00,29.64,29.96,FEW,mostly clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-12,3.92,19.94,-2.92,17.60,0.00,12.66,,N,0.75,10.00,0.05,8.00,29.96,30.10,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KSLC,America/Denver,2013-01-13,1.40,14.00,-2.02,6.98,0.00,9.21,,N,7.00,10.00,0.00,7.00,30.10,30.22,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
