Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KBTV,America/New_York,2000-01-01,19.94,41.00,12.02,24.98,0.00,23.02,31.07,E,9.00,10.00,,0.00,30.02,30.14,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-02,28.40,51.80,24.80,44.60,0.00,20.71,29.92,S,0.25,10.00,,,29.71,30.15,CLR,clear,OVC,overcast,-RA,light rain,-DZ,light drizzle,HZ,haze,FG,fog,BR,mist,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-03,26.60,55.40,21.20,46.40,3.45,19.56,28.77,N,1.25,10.00,,,29.70,30.27,CLR,clear,OVC,overcast,-SN,light snow,-SNPL,light snow and ice pellets,-FZRAPLSN,light freezing rain, ice pellets, and snow,HZ,haze,BR,mist,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-04,28.40,51.80,24.80,32.00,3.45,20.71,39.13,S,1.00,10.00,,,29.35,30.10,FEW,mostly clear,VV,overcast,-PLSN,light ice pellets and snow,-SN,light snow,-SNPL,light snow and ice pellets,FZRAPL,freezing rain and ice pellets,-FZDZ,light freezing drizzle,-FZRA,light freezing rain,+RA,heavy rain,RA,rain,-RA,light rain,-DZ,light drizzle,BR,mist,,
KBTV,America/New_York,2000-01-05,12.20,30.20,-0.40,21.20,3.45,23.02,27.62,N,7.00,10.00,,,29.66,30.52,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-06,12.20,33.80,5.00,21.20,0.00,24.17,33.37,S,10.00,10.00,,,30.23,30.56,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-07,28.40,37.40,14.00,30.20,10.36,19.56,29.92,S,0.50,10.00,,,29.90,30.21,CLR,clear,OVC,overcast,+SN,heavy snow,-SN,light snow,FG,fog,BR,mist,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-08,23.00,33.80,10.40,17.60,0.00,21.86,31.07,S,10.00,10.00,,,29.96,30.26,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-09,32.00,37.40,17.60,28.40,0.00,19.56,26.47,S,10.00,10.00,,,29.93,30.03,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-10,30.20,42.80,26.60,35.60,0.00,24.17,33.37,SE,3.00,10.00,,,29.26,30.01,FEW,mostly clear,OVC,overcast,-SN,light snow,-RASN,light rain and snow,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-11,35.60,44.06,28.40,33.80,0.00,16.11,23.02,S,4.00,10.00,,,29.25,29.55,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-12,21.92,35.60,5.00,26.60,4.60,21.86,29.92,NW,10.00,10.00,,,29.59,30.14,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-13,5.00,21.20,-9.40,8.60,5.75,20.71,29.92,N,2.50,10.00,0.00,,29.96,30.23,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-14,-0.40,6.98,-13.00,-7.60,9.21,20.71,28.77,NW,9.00,10.00,,,30.24,30.56,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-15,-2.20,17.60,-14.80,-4.00,0.00,16.11,24.17,S,10.00,10.00,,,30.27,30.69,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-16,-0.40,30.20,-11.20,24.80,5.75,28.77,35.67,S,0.75,10.00,,,29.66,30.26,FEW,mostly clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-17,-9.40,-2.20,-20.20,-14.80,0.00,25.32,33.37,N,9.00,10.00,,,30.29,30.50,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-18,-7.60,3.20,-16.60,-9.40,3.45,9.21,,NE,10.00,10.00,,,29.98,30.38,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-19,-9.40,14.00,-13.00,-0.40,0.00,5.75,,E,2.50,10.00,,,29.83,29.96,CLR,clear,BKN,mostly cloudy,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-20,3.20,21.20,-2.20,17.60,0.00,13.81,,N,1.50,10.00,0.00,,29.63,29.82,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-21,-2.20,10.40,-14.80,6.80,8.06,23.02,28.77,N,0.75,10.00,,,29.65,29.78,CLR,clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-22,-9.40,5.00,-16.60,-13.00,0.00,20.71,26.47,NW,10.00,10.00,,,29.80,30.22,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-23,-13.00,21.20,-18.40,10.40,0.00,14.96,20.71,S,9.00,10.00,,,30.04,30.26,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-24,14.00,30.20,8.60,21.20,0.00,18.41,23.04,S,5.97,10.00,0.00,1.18,30.02,30.13,NCD,no cloud detected,OVC,overcast,-SN,light snow,IWC71,light snow,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-25,10.40,19.40,6.80,15.80,0.00,20.71,28.77,N,0.50,10.00,0.00,,29.43,30.10,CLR,clear,VV,overcast,SN,snow,-SN,light snow,-FZDZ,light freezing drizzle,-FZRA,light freezing rain,HZ,haze,FZFG,freezing fog,BR,mist,,,,,,,,,,
KBTV,America/New_York,2000-01-26,10.40,21.92,6.80,17.60,6.90,17.26,24.17,N,0.25,6.00,0.00,9.00,29.41,29.93,FEW,mostly clear,VV,overcast,+SN,heavy snow,SN,snow,-SN,light snow,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-27,1.04,10.40,-7.60,6.80,3.45,17.26,,N,1.25,10.00,0.00,13.00,29.91,30.11,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-28,-2.20,5.00,-7.96,-5.80,0.00,17.26,20.71,NW,1.25,10.00,0.00,,30.11,30.45,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-29,-11.20,19.40,-18.40,3.20,0.00,5.75,,S,2.50,10.00,0.00,,30.45,30.60,CLR,clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-30,-2.20,30.20,-7.60,15.80,0.00,9.21,,S,10.00,10.00,,,29.92,30.48,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2000-01-31,26.60,33.80,12.20,28.94,0.00,13.81,,W,0.50,10.00,,,29.50,29.90,FEW,mostly clear,VV,overcast,SN,snow,-SN,light snow,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,,,
