Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KBTV,America/New_York,2013-01-01,3.92,33.08,-2.02,26.60,3.45,24.17,31.07,N,0.75,10.00,0.02,15.00,29.65,29.97,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,BLSN,blowing snow,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-02,-5.98,15.80,-11.20,10.40,0.00,17.26,24.17,N,0.75,10.00,0.03,15.00,29.86,30.27,CLR,clear,VV,overcast,-SN,light snow,HZ,haze,BR,mist,BLSN,blowing snow,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-03,-9.04,15.80,-14.98,6.80,0.00,8.06,,S,8.00,10.00,,14.00,29.90,30.27,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-04,15.80,35.96,8.60,23.00,6.90,17.26,24.17,S,8.00,10.00,0.00,14.00,29.72,29.88,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-05,12.02,35.06,6.08,24.80,0.00,28.77,36.82,NW,1.25,10.00,0.00,12.00,29.77,30.24,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-06,15.98,33.98,10.04,26.96,0.00,12.66,,S,1.00,10.00,0.01,11.00,29.87,30.14,FEW,mostly clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-07,10.94,24.80,6.08,15.80,0.00,20.71,26.47,N,1.25,10.00,0.01,11.00,30.00,30.38,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-08,19.04,35.96,15.08,21.20,0.00,21.86,31.07,S,7.00,10.00,,10.00,30.17,30.36,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-09,15.08,42.98,10.94,28.94,0.00,24.17,33.37,S,6.00,10.00,,10.00,29.88,30.35,CLR,clear,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-10,26.06,39.02,21.02,32.00,0.00,20.71,28.77,NW,3.00,10.00,0.01,10.00,30.04,30.56,CLR,clear,OVC,overcast,-RASN,light rain and snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-11,21.02,37.94,17.06,33.80,0.00,17.26,27.62,S,8.00,10.00,0.04,8.00,30.06,30.53,CLR,clear,OVC,overcast,-PL,light ice pellets,-RA,light rain,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-12,39.02,44.96,33.98,39.20,3.45,18.41,27.62,S,7.00,10.00,0.00,8.00,30.02,30.10,CLR,clear,OVC,overcast,-RA,light rain,-DZ,light drizzle,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-13,37.40,48.20,35.60,44.96,3.45,20.71,32.22,S,2.50,10.00,0.00,4.00,29.84,30.08,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KBTV,America/New_York,2013-01-14,35.60,48.92,19.04,44.60,0.00,25.32,33.37,S,6.00,10.00,0.00,,29.76,30.29,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
