Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KRIC,America/New_York,1990-01-01,35.06,59.00,17.06,55.04,6.90,21.86,28.77,NW,5.00,10.00,0.38,,29.60,30.35,CLR,clear,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-02,24.08,48.92,19.94,24.98,0.00,14.96,,SW,7.00,10.00,,,30.35,30.48,CLR,clear,SCT,partly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-03,26.96,55.04,21.92,30.02,0.00,10.36,,S,7.00,10.00,,,30.28,30.39,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-04,37.04,59.00,30.92,53.96,3.45,20.71,23.02,SW,2.00,10.00,0.15,,29.97,30.29,CLR,clear,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-05,44.96,57.02,35.06,53.06,4.60,11.51,,SE,7.00,10.00,,,29.99,30.20,SCT,partly cloudy,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-06,33.98,50.00,33.08,46.94,0.00,10.36,,N,1.00,7.00,0.26,,29.99,30.20,SCT,partly cloudy,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-07,33.08,48.02,32.00,35.96,0.00,10.36,,S,0.12,7.00,,,30.05,30.23,FEW,mostly clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-08,35.96,41.00,33.98,37.94,0.00,16.11,,NE,2.00,7.00,0.47,,29.69,30.05,CLR,clear,OVC,overcast,-RA,light rain,FG,fog,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-09,30.92,48.92,30.02,42.98,4.60,18.41,,S,0.12,8.00,,,29.82,30.08,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-10,39.92,55.04,21.92,39.92,6.90,20.71,29.92,W,3.00,10.00,,,29.71,29.98,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,1990-01-11,28.94,57.02,24.98,32.00,0.00,19.56,23.02,SW,7.00,10.00,,,29.49,29.98,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
