Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KRIC,America/New_York,2012-01-01,33.08,64.04,30.02,46.94,0.00,17.26,27.62,S,10.00,10.00,0.00,,29.80,30.15,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,2012-01-02,32.00,50.00,10.04,26.06,4.60,18.41,27.62,W,10.00,10.00,,,29.89,29.99,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,2012-01-03,23.00,33.98,-2.02,15.08,8.06,24.17,32.22,NW,10.00,10.00,,,29.97,30.29,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,2012-01-04,17.06,37.94,1.40,15.08,0.00,12.66,,S,10.00,10.00,0.00,,30.01,30.35,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,2012-01-05,33.98,51.98,12.92,24.08,3.45,11.51,19.56,W,10.00,10.00,,,29.96,30.04,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,2012-01-06,33.08,68.00,24.08,28.94,3.45,14.96,20.71,SW,10.00,10.00,,,29.88,30.02,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,2012-01-07,44.06,69.08,26.06,42.98,3.45,16.11,24.17,SW,10.00,10.00,,,29.85,30.04,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,2012-01-08,35.96,55.04,24.08,39.20,0.00,9.21,,N,10.00,10.00,,,30.06,30.31,FEW,mostly clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,2012-01-09,35.96,41.00,26.06,37.94,0.00,9.21,,NE,1.50,10.00,0.19,,30.06,30.32,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KRIC,America/New_York,2012-01-10,35.96,55.94,30.92,37.40,0.00,11.51,,W,0.50,10.00,,,29.99,30.09,SCT,partly cloudy,OVC,overcast,BR,mist,,,,,,,,,,,,,,,,,,,,,,
