Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KSEA,America/Los_Angeles,2000-01-01,37.04,42.08,35.06,39.02,5.75,19.56,31.07,SW,8.00,10.00,0.00,,29.71,29.89,SCT,partly cloudy,OVC,overcast,+RABR,heavy rain with mist,-DZ,light drizzle,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-02,37.04,44.06,33.08,37.94,3.45,14.96,21.86,SW,10.00,10.00,,,29.85,30.30,FEW,mostly clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-03,35.60,46.94,33.80,44.06,3.45,18.41,,S,2.00,10.00,0.27,,29.89,30.32,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-04,42.08,50.00,37.94,44.96,6.90,20.71,28.77,SW,3.00,10.00,0.31,,29.86,30.33,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-05,37.04,44.60,33.98,37.94,0.00,10.36,,SE,10.00,10.00,0.00,,30.34,30.52,FEW,mostly clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-06,33.08,41.00,31.10,39.20,0.00,11.51,,SE,1.50,10.00,0.03,,30.21,30.44,CLR,clear,OVC,overcast,-RA,light rain,DZ,drizzle,BR,mist,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-07,39.20,46.04,39.02,42.98,3.45,14.96,,S,2.00,10.00,0.21,,29.91,30.30,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-08,35.96,46.40,32.00,44.60,4.60,23.02,34.52,SW,3.00,10.00,0.31,,29.83,30.13,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-09,35.06,42.98,30.02,41.00,6.90,26.47,35.67,SW,6.00,10.00,0.20,,29.63,29.99,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-10,33.98,35.96,33.08,35.60,4.60,13.81,,SE,2.00,10.00,0.19,,29.56,29.93,FEW,mostly clear,OVC,overcast,-RASN,light rain and snow,-RA,light rain,DZ,drizzle,BR,mist,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-11,33.80,37.04,32.00,35.60,4.60,19.56,27.62,S,1.50,10.00,0.05,,29.59,29.78,FEW,mostly clear,OVC,overcast,-SN,light snow,-RASN,light rain and snow,-SNRA,light snow and rain,-RA,light rain,DZ,drizzle,BR,mist,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-12,32.00,37.94,30.02,37.04,0.00,17.26,31.07,S,0.25,10.00,0.22,1.00,29.79,29.99,FEW,mostly clear,OVC,overcast,+SN,heavy snow,SN,snow,-SN,light snow,-RA,light rain,FG,fog,BR,mist,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-13,35.60,39.92,35.06,37.94,0.00,9.21,,SE,6.00,10.00,0.10,,29.80,29.98,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,DZ,drizzle,BR,mist,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-14,37.04,44.06,35.06,42.80,0.00,21.86,35.67,S,3.00,10.00,0.29,,29.76,30.12,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,DZ,drizzle,BR,mist,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-15,35.06,42.08,21.92,35.60,0.00,14.96,21.86,S,10.00,10.00,0.00,,29.66,30.16,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-16,35.96,50.00,32.00,39.02,4.60,35.67,49.48,S,5.00,10.00,0.28,,29.42,30.12,FEW,mostly clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-17,35.06,48.02,30.92,35.96,0.00,13.81,,S,9.00,10.00,0.01,,30.15,30.26,CLR,clear,OVC,overcast,-RA,light rain,,,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-18,30.02,41.00,30.02,33.98,0.00,13.81,,N,4.00,10.00,,,30.16,30.27,CLR,clear,SCT,partly cloudy,BR,mist,BCFG,patches of fog,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-19,28.40,44.06,28.04,35.96,0.00,12.66,,N,0.50,10.00,0.08,,29.98,30.25,CLR,clear,VV,overcast,RA,rain,-RA,light rain,FZFG,freezing fog,BR,mist,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-20,35.60,46.94,35.06,42.98,0.00,11.51,,SE,4.00,10.00,0.15,,29.88,30.06,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-21,39.20,48.02,33.98,44.06,0.00,14.96,20.71,SW,6.00,10.00,0.19,,29.86,29.99,FEW,mostly clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-22,37.04,46.40,37.04,42.98,0.00,6.90,,E,0.75,10.00,0.02,,30.01,30.17,FEW,mostly clear,OVC,overcast,-RA,light rain,BCFG,patches of fog,,,,,,,,,,,,,,,,,,,,
KSEA,America/Los_Angeles,2000-01-23,33.98,44.96,30.02,39.02,0.00,13.81,,N,2.00,10.00,,,30.00,30.15,CLR,clear,OVC,overcast,BR,mist,BCFG,patches of fog,,,,,,,,,,,,,,,,,,,,
