Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KCRW,America/New_York,2016-01-01,32.00,37.94,21.92,30.02,4.60,13.81,20.71,SW,9.00,10.00,,,30.18,30.29,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-02,28.94,44.06,19.40,21.92,4.60,13.81,21.86,SW,10.00,10.00,,,30.08,30.24,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-03,33.08,46.04,21.02,24.98,4.60,16.11,29.92,SW,9.00,10.00,0.00,,29.94,30.10,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-04,23.00,33.98,10.04,24.98,4.60,16.11,27.62,NW,6.00,10.00,0.00,,30.07,30.50,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-05,15.98,33.98,6.98,14.00,0.00,6.90,,N,10.00,10.00,,,30.46,30.64,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-06,15.08,46.94,6.08,17.96,0.00,3.45,,SE,10.00,10.00,,,30.28,30.49,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-07,19.94,53.06,15.98,30.02,0.00,4.60,,SW,10.00,10.00,,,30.08,30.27,CLR,clear,FEW,mostly clear,,,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-08,28.40,50.00,26.06,44.96,0.00,4.60,,SE,4.00,10.00,0.13,,29.93,30.06,FEW,mostly clear,OVC,overcast,-FZRA,light freezing rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-09,35.06,57.02,35.06,46.40,0.00,14.96,26.47,SE,4.00,10.00,0.01,,29.61,29.99,CLR,clear,OVC,overcast,RA,rain,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-10,21.92,51.80,12.02,44.96,4.60,20.71,40.28,W,6.00,10.00,0.02,,29.48,30.07,FEW,mostly clear,OVC,overcast,-SN,light snow,-RASN,light rain and snow,-RA,light rain,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-11,15.98,30.02,6.08,15.08,0.00,13.81,19.56,SW,10.00,10.00,0.00,,29.98,30.21,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-12,17.60,37.94,1.04,30.02,6.90,28.77,40.28,SW,0.50,10.00,0.03,,29.80,30.19,CLR,clear,OVC,overcast,SN,snow,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-13,10.04,28.04,-0.04,14.00,0.00,12.66,17.26,SW,10.00,10.00,,,29.96,30.23,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-14,32.00,57.20,12.02,32.00,0.00,16.11,25.32,SW,10.00,10.00,,,29.87,30.01,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-15,26.60,48.02,24.80,41.00,0.00,9.21,19.56,S,2.00,10.00,0.16,,29.51,29.86,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KCRW,America/New_York,2016-01-16,32.00,44.96,26.96,42.08,3.45,18.41,28.77,W,2.00,10.00,0.01,,29.54,29.94,FEW,mostly clear,OVC,overcast,-SN,light snow,-DZSN,light drizzle and snow,-DZSNPL,light drizzle, snow, and ice pellets,-FZDZSN,light freezing drizzle and snow,-RASN,light rain and snow,-RA,light rain,HZ,haze,BR,mist,,,,,,,,
