Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMKE,America/Chicago,1989-01-01,21.02,33.08,21.02,30.02,0.00,20.71,,SW,0.25,7.00,,1.00,29.89,30.06,CLR,clear,OVC,overcast,-SN,light snow,DZ,drizzle,FGDZ,drizzle with fog,FG,fog,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-02,12.02,28.04,6.08,24.98,0.00,19.56,23.02,W,3.00,15.00,,1.00,29.91,30.05,CLR,clear,OVC,overcast,-SN,light snow,FG,fog,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-03,10.04,28.94,6.98,26.96,0.00,31.07,40.28,NW,0.50,10.00,0.03,1.00,29.61,30.14,CLR,clear,OVC,overcast,-SN,light snow,-SNSG,light snow and snow grains,SG,snow grains,-FZDZSN,light freezing drizzle and snow,-FZDZSG,light freezing drizzle and snow grains,-FZDZ,light freezing drizzle,FG,fog,,,,,,,,,,
KMKE,America/Chicago,1989-01-04,12.02,26.06,8.06,15.98,0.00,14.96,19.56,S,4.00,10.00,,1.00,29.94,30.27,CLR,clear,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-05,17.96,35.06,15.98,32.00,0.00,34.52,,E,0.50,10.00,0.18,1.00,29.72,29.91,CLR,clear,OVC,overcast,-SN,light snow,-FZRAPL,light freezing rain and ice pellets,-FZRASNPL,light freezing rain, snow, and ice pellets,-RAPL,light rain and ice pellets,-FZRA,light freezing rain,-RA,light rain,DZ,drizzle,FG,fog,,,,,,,,
KMKE,America/Chicago,1989-01-06,32.00,35.06,30.92,33.08,5.75,14.96,,NE,0.75,5.00,0.09,2.00,29.71,29.94,BKN,mostly cloudy,OVC,overcast,-SN,light snow,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-07,30.92,42.98,26.06,42.98,4.60,29.92,44.88,SE,0.06,7.00,0.04,1.00,29.39,29.91,SCT,partly cloudy,OVC,overcast,DZ,drizzle,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-08,6.08,21.92,-2.92,19.04,13.81,33.37,50.63,SW,7.00,10.00,,,29.55,30.23,SCT,partly cloudy,OVC,overcast,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-09,1.94,26.96,-2.92,19.04,4.60,18.41,25.32,S,10.00,10.00,,,30.08,30.35,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-10,19.04,33.98,10.94,26.96,0.00,20.71,26.47,SW,7.00,10.00,,,30.02,30.44,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-11,21.92,39.02,19.94,35.06,5.75,25.32,34.52,SE,2.00,10.00,0.07,,29.85,30.44,SCT,partly cloudy,OVC,overcast,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-12,21.02,39.92,15.98,37.04,11.51,21.86,29.92,W,4.00,15.00,,,29.83,30.32,CLR,clear,OVC,overcast,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-13,15.98,30.92,12.92,24.08,0.00,17.26,,W,7.00,15.00,,,30.32,30.51,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-14,23.00,30.02,17.06,26.06,0.00,18.41,24.17,S,0.50,10.00,0.10,1.00,29.81,30.32,CLR,clear,OVC,overcast,SN,snow,-SN,light snow,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-15,26.96,37.94,21.92,28.94,0.00,18.41,26.47,SW,7.00,10.00,,1.00,29.81,30.05,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-16,21.92,37.94,15.98,26.96,5.75,19.56,28.77,SW,10.00,15.00,,1.00,29.79,30.15,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-17,30.02,37.94,19.94,33.08,0.00,24.17,32.22,SW,10.00,15.00,,1.00,29.75,30.02,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-18,30.92,39.92,24.08,33.08,5.75,20.71,33.37,W,5.00,10.00,,,29.72,30.03,CLR,clear,OVC,overcast,DZ,drizzle,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-19,28.04,44.06,19.94,30.92,0.00,23.02,33.37,SW,5.00,15.00,,,29.75,30.02,CLR,clear,OVC,overcast,-SN,light snow,DZ,drizzle,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-20,19.04,33.98,8.06,28.94,0.00,19.56,29.92,NW,1.00,15.00,0.02,,29.91,30.48,CLR,clear,OVC,overcast,-SN,light snow,-SHSN,showers of light snow,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-21,17.96,35.06,8.96,21.02,0.00,26.47,33.37,S,10.00,15.00,,,30.06,30.46,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-22,30.92,46.04,19.04,28.94,6.90,18.41,25.32,S,10.00,15.00,,,29.92,30.06,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-23,33.98,48.02,23.00,32.00,0.00,19.56,24.17,SW,7.00,10.00,,,29.94,30.08,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-24,35.96,37.04,30.92,35.96,0.00,19.56,26.47,NE,3.00,8.00,,,30.08,30.29,SCT,partly cloudy,OVC,overcast,FG,fog,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-25,33.98,37.04,26.06,35.96,0.00,14.96,,E,0.12,10.00,0.23,,29.89,30.29,OVC,overcast,OVC,overcast,-RA,light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-26,26.96,35.96,17.06,35.06,9.21,18.41,25.32,W,4.00,10.00,,,29.91,30.09,CLR,clear,OVC,overcast,DZ,drizzle,FG,fog,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-27,26.06,42.98,15.98,30.92,0.00,21.86,31.07,W,7.00,10.00,,,30.00,30.12,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-28,35.96,44.06,28.04,33.08,0.00,19.56,,SW,7.00,10.00,,,29.95,30.06,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,1989-01-29,32.00,39.92,30.92,37.94,0.00,13.81,,SW,0.75,10.00,0.10,,29.77,30.06,SCT,partly cloudy,OVC,overcast,-SHRA,showers of light rain,-DZ,light drizzle,FG,fog,,,,,,,,,,,,,,,,,,
