Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KMKE,America/Chicago,2000-01-01,32.00,42.08,24.98,37.40,0.00,17.26,,SW,4.00,10.00,0.00,,29.83,29.99,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-02,33.80,55.40,30.20,46.40,4.60,24.17,33.37,S,1.25,10.00,,,29.46,29.96,CLR,clear,OVC,overcast,-RA,light rain,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-03,30.20,35.60,28.40,33.08,10.36,25.32,31.07,NE,1.00,10.00,0.04,,29.58,30.03,SCT,partly cloudy,OVC,overcast,PLSN,ice pellets and snow,-PLSN,light ice pellets and snow,-SN,light snow,-DZ,light drizzle,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-04,19.40,28.40,14.00,24.80,5.75,18.41,24.17,NW,1.25,10.00,,,29.59,30.20,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-05,10.40,24.98,8.60,19.94,0.00,17.26,25.32,S,7.00,10.00,,,30.08,30.30,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-06,24.80,35.60,19.40,26.60,5.75,16.11,20.71,SW,5.00,10.00,,,30.03,30.17,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-07,15.08,28.40,5.00,21.20,5.75,19.56,26.47,W,10.00,10.00,,3.00,30.13,30.38,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-08,24.80,41.00,17.60,33.80,6.90,19.56,24.17,SW,8.00,10.00,,,29.84,30.10,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-09,33.80,39.20,33.80,39.20,0.00,12.66,,S,0.25,6.00,,,29.48,29.86,BKN,mostly cloudy,VV,overcast,-RA,light rain,-DZ,light drizzle,FG,fog,BR,mist,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-10,35.60,42.80,24.80,39.20,6.90,28.77,34.52,W,2.00,10.00,,,29.18,29.42,CLR,clear,OVC,overcast,-RA,light rain,-DZ,light drizzle,BR,mist,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-11,24.80,35.60,8.96,28.40,8.06,24.17,31.07,W,9.00,10.00,,,29.41,30.15,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-12,21.02,30.92,8.60,26.96,3.45,21.86,27.62,NE,10.00,10.00,,,29.94,30.22,FEW,mostly clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-13,14.00,30.20,8.60,28.40,0.00,19.56,26.47,N,1.25,10.00,0.00,,29.99,30.71,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-14,12.20,26.60,6.80,19.40,0.00,13.81,20.71,S,1.50,10.00,,,30.30,30.75,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-15,26.60,37.40,19.40,26.60,6.90,17.26,,SW,10.00,10.00,,,29.94,30.28,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-16,19.40,35.60,10.40,26.60,9.21,20.71,28.77,N,8.00,10.00,0.00,,30.01,30.70,CLR,clear,OVC,overcast,-SN,light snow,,,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-17,21.20,26.60,10.40,24.80,6.90,19.56,25.32,SE,1.00,10.00,0.00,,30.19,30.69,FEW,mostly clear,OVC,overcast,-SN,light snow,-FZDZ,light freezing drizzle,BR,mist,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-18,19.40,35.60,8.60,24.80,5.75,18.41,25.32,NW,3.00,10.00,,,29.98,30.17,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-19,15.80,24.98,8.06,21.20,0.00,17.26,25.32,N,0.75,10.00,0.00,,29.79,30.11,CLR,clear,VV,overcast,-SN,light snow,BLSN,blowing snow,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-20,1.40,17.60,-7.60,14.00,10.36,21.86,28.77,NW,0.75,10.00,0.00,,29.85,30.13,CLR,clear,OVC,overcast,-SN,light snow,BLSN,blowing snow,,,,,,,,,,,,,,,,,,,,
KMKE,America/Chicago,2000-01-21,-2.20,10.40,-9.40,-4.00,0.00,14.99,,NW,9.94,10.00,0.00,3.94,30.12,30.19,NCD,no cloud detected,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
