Call Sign (String),Time Zone ID (String),Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Gust Speed Max (mph),Wind Direction Dominant (degrees),Visibility Min (mi),Visibility Max (mi),Precipitation (in),Snow Depth Max (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg),Min Cloud Layer Code (String),Min Cloud Layer Label (String),Max Cloud Layer Code (String),Max Cloud Layer Label (String),Weather Code 1 (String),Weather Label 1 (String),Weather Code 2 (String),Weather Label 2 (String),Weather Code 3 (String),Weather Label 3 (String),Weather Code 4 (String),Weather Label 4 (String),Weather Code 5 (String),Weather Label 5 (String),Weather Code 6 (String),Weather Label 6 (String),Weather Code 7 (String),Weather Label 7 (String),Weather Code 8 (String),Weather Label 8 (String),Weather Code 9 (String),Weather Label 9 (String),Weather Code 10 (String),Weather Label 10 (String),Weather Code 11 (String),Weather Label 11 (String),Weather Code 12 (String),Weather Label 12 (String)
KCYS,America/Denver,2016-01-01,1.04,30.92,-9.04,5.00,5.75,14.96,21.86,W,10.00,10.00,,,30.26,30.32,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-02,14.00,41.00,-0.94,12.02,4.60,14.96,,W,10.00,10.00,,,30.21,30.28,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-03,14.00,42.80,3.92,15.08,0.00,12.66,,W,10.00,10.00,,,30.19,30.27,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-04,19.04,44.96,8.06,21.02,0.00,12.66,,W,10.00,10.00,,,29.89,30.16,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-05,24.98,48.02,12.02,24.98,0.00,13.81,,W,10.00,10.00,,,29.79,29.88,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-06,24.98,44.96,17.06,23.00,0.00,13.81,,SW,10.00,10.00,,,29.71,29.80,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-07,26.06,35.96,19.94,30.20,0.00,11.51,,NE,0.75,10.00,0.17,,29.65,29.72,FEW,mostly clear,VV,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-08,10.94,26.60,8.06,24.98,0.00,13.81,19.56,N,1.25,8.00,0.07,,29.72,29.91,FEW,mostly clear,OVC,overcast,-SN,light snow,HZ,haze,BR,mist,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-09,1.94,24.08,-2.92,17.06,0.00,11.51,,W,2.50,10.00,0.00,,29.90,29.99,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-10,5.00,28.94,-2.02,12.02,0.00,14.96,,W,10.00,10.00,,,29.93,30.00,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-11,19.04,33.98,1.40,12.02,3.45,23.02,31.07,W,10.00,10.00,,,29.94,30.01,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-12,26.06,41.00,-0.04,17.96,3.45,25.32,36.82,W,10.00,10.00,,,29.99,30.10,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-13,23.00,44.06,8.06,19.04,4.60,28.77,39.13,W,10.00,10.00,,,29.71,30.05,CLR,clear,CLR,clear,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-14,24.08,37.04,6.08,17.96,0.00,32.22,43.73,W,10.00,10.00,,,29.62,29.72,CLR,clear,BKN,mostly cloudy,,,,,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-15,19.94,28.04,5.00,19.40,4.60,19.56,27.62,NW,0.75,10.00,0.01,,29.67,29.86,CLR,clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-16,10.94,28.94,3.92,21.92,5.75,20.71,25.32,W,1.50,10.00,0.01,,29.81,29.93,CLR,clear,OVC,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-17,17.96,35.96,14.00,23.00,0.00,24.17,33.37,NW,0.75,10.00,0.09,,29.84,30.01,CLR,clear,VV,overcast,-SN,light snow,BR,mist,,,,,,,,,,,,,,,,,,,,
KCYS,America/Denver,2016-01-18,28.94,44.96,15.08,28.04,3.45,29.92,35.67,W,9.00,10.00,,,29.86,29.98,CLR,clear,OVC,overcast,,,,,,,,,,,,,,,,,,,,,,,,
