State,1st degree,2nd degree,3rd degree
ALABAMA, 0.4244586214877849, 0.4559081876631739, 0.4275247723068687
ARIZONA, 0.7077733222759003, 0.6561163687814775, 0.6507350623984104
ARKANSAS, 0.36057382724814485, 0.3838695971682233, 0.3850923819776553
CALIFORNIA, 0.3070822081703278, 0.436477041717005, 0.4189468294301074
FLORIDA, 0.27340895222040895, 0.25545209221936954, 0.2449622767848345
GEORGIA, 0.2550726149437851, 0.2583876812211641, 0.2617323576598868
HAWAII, 0.3397367309273877, 0.4072504140170115, 0.4226257210302755
IDAHO, 0.6820850333026407, 0.6764656829294344, 0.6657017773790358
ILLINOIS, 0.5417249802070049, 0.5784645377097388, 0.6084696623483072
INDIANA, 0.6674884508489624, 0.6231680327941357, 0.6154115930189646
IOWA, 0.36218870462728675, 0.49127428368745696, 0.4956120954539088
KANSAS, 0.8096279694545085, 0.8184319101156263, 0.8239348486459238
KENTUCKY, 0.5049763715752815, 0.4652108337674011, 0.471804436378971
LOUISIANA, 0.04172798342018369, 0.043822667569564766, 0.04444892276164245
MAINE, 0.3587261925470173, 0.34400216122364574, 0.3542376270301907
MICHIGAN, 0.22741969452301666, 0.25219765933965976, 0.2659680937315542
MONTANA, 0.6034607311658965, 0.5692889857978175, 0.5679517128263171
NEBRASKA, 0.6384379785718726, 0.6496497375507766, 0.649435695777425
NORTH CAROLINA, 0.2724122499203507, 0.28299053742794467, 0.29360795716941157
NORTH DAKOTA, 0.6138100312810337, 0.5284452426861733, 0.49973612978768234
OHIO, 0.6299657630972595, 0.7203323229670823, 0.718441546942653
OREGON, 0.39576998038107325, 0.41977376337069927, 0.42653472017961763
PENNSYLVANIA, 0.5138120691423468, 0.4900371101488603, 0.479158398960351
SOUTH DAKOTA, 0.11304059567995144, 0.10690718156996737, 0.09059379540996836
TENNESSEE, 0.528947017554513, 0.5386381261992148, 0.5630816487855828
TEXAS, 0.332324701406498, 0.2950866507746594, 0.29323396018231
UTAH, 0.4268802255339991, 0.5582512871052382, 0.5639351906636625
VERMONT, 0.36638899283865484, 0.37158845219729275, 0.3430813514594066
VIRGINIA, 0.5982952562456301, 0.6377226431633956, 0.6616691491819645
WASHINGTON, 0.2237755482237588, 0.23636756751792576, 0.230799591025711
WISCONSIN, 0.6653647460385109, 0.6316792013551147, 0.6379572659829785
WYOMING, 0.08494596982011872, 0.07760903963104882, 0.0773106621859898
