State,1st degree,2nd degree,3rd degree
ALABAMA, 0.4416999904403726, 0.4732465432604441, 0.4513636221395255
ARIZONA, 0.7407688043931593, 0.7439311772363021, 0.7197311700332752
ARKANSAS, 0.3760249146880926, 0.38874022043186585, 0.38984482863954784
CALIFORNIA, 0.32418338282138426, 0.37810342232952787, 0.3962359395632644
FLORIDA, 0.2217318060078836, 0.22553447411668198, 0.248911235895086
GEORGIA, 0.2233787453999249, 0.25099587361313974, 0.27106318751804737
HAWAII, 0.38064709261860874, 0.4668914911732155, 0.4748997066063779
IDAHO, 0.6915090757353314, 0.6986754570727276, 0.6926376284062823
ILLINOIS, 0.48620081387216124, 0.536132570017003, 0.5696196293328766
INDIANA, 0.6650189962416997, 0.6342303235609926, 0.6095597994473453
IOWA, 0.3571645122398962, 0.4517512021511236, 0.4591523669969247
KANSAS, 0.7880332204570217, 0.8132304072921352, 0.8260591774579817
KENTUCKY, 0.4940368191845071, 0.46824923881709674, 0.47809711761504214
LOUISIANA, 0.0377329402610638, 0.046939843377508124, 0.05702647341133991
MAINE, 0.3930733233937261, 0.3865575815074482, 0.3939120990208045
MICHIGAN, 0.20521705834703077, 0.2281562331168143, 0.24300198373872203
MONTANA, 0.6193012515677496, 0.6109714115130885, 0.6100415442526942
NEBRASKA, 0.6357325316282512, 0.6473932049076472, 0.6613856650311557
NORTH CAROLINA, 0.2528445605916176, 0.2736949517288761, 0.2907999247999662
NORTH DAKOTA, 0.6339856937042149, 0.599930841374776, 0.5773917954282621
OHIO, 0.6444815799528106, 0.7135236122144453, 0.7155382700266857
OREGON, 0.37276608540954026, 0.411906107737628, 0.42028474889919865
PENNSYLVANIA, 0.5079229496204429, 0.4889912697211222, 0.4956256603818174
SOUTH DAKOTA, 0.0858182556325848, 0.07557987988530848, 0.08748837625253644
TENNESSEE, 0.5029913865715103, 0.5454667796420112, 0.5422720744693846
TEXAS, 0.3195245254289914, 0.32159220574508485, 0.3245161609582857
UTAH, 0.4176850668444449, 0.5095267011545532, 0.5260648152045706
VERMONT, 0.3436488842877238, 0.36194518584622903, 0.3619345848404262
VIRGINIA, 0.5616460544836537, 0.6176604355335037, 0.6279912030451108
WASHINGTON, 0.22853982662105796, 0.23550077873529068, 0.2421327278136858
WISCONSIN, 0.6032394926643474, 0.6192142033061839, 0.6337510547279362
WYOMING, 0.08454025948658757, 0.08441005337304126, 0.0849662097086866
