Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,53.07676712328766,73.59282191780824,46.16969863013697,56.025808219178096,1.3423287671232875,13.795369863013738,0.0,29.96435616438357,30.117315068493145
1989,51.19655737704924,72.31901639344257,43.47081967213114,54.73508196721317,1.3795628415300556,13.81385245901644,0.0,29.977322404371613,30.148142076502744
1990,51.310794520547944,70.82230136986306,44.64832876712329,55.44142465753433,1.5566301369863023,13.564821917808256,0.0,29.994849315068475,30.160109589041078
1991,54.068791208791254,74.53587912087912,47.395934065934064,58.17813186813197,1.3996703296703294,12.536456043956084,0.0,28.261043956043938,28.403296703296718
1992,54.31408219178081,72.485698630137,47.997808219178005,57.56098630136996,1.5882191780821926,13.079178082191813,0.0,29.991342465753455,30.145698630136998
1993,52.546065573770505,71.53901639344265,46.544590163934416,56.43672131147544,1.6402185792349735,13.200765027322438,0.0,29.976994535519122,30.13180327868851
1994,52.08158904109597,71.30460273972608,45.30668493150691,55.405424657534354,1.9852328767123322,13.448027397260326,0.0,29.978657534246558,30.139835616438358
1995,53.10598901098894,71.92489010989017,47.49829670329669,57.35824175824183,1.4407967032967035,12.922142857142884,0.0,29.99043956043954,30.144532967032973
1996,52.9973698630137,73.04394520547943,45.369315068493115,56.00115068493153,1.6481369863013704,13.933205479452077,0.0,29.95147945205479,30.117205479452057
1997,52.10639344262297,71.77311475409832,44.974262295081914,55.76590163934427,1.8069945355191266,13.668715846994573,0.0,29.962786885245908,30.13601092896175
1998,52.48695890410962,71.66016438356161,45.79835616438353,55.97254794520553,1.5595616438356181,13.480191780821949,0.0,29.964136986301366,30.1323287671233
1999,55.995232876712336,75.02838356164386,49.60843835616439,59.071013698630075,1.6944383561643852,13.909589041095918,0.00904109589041096,29.937287671232863,30.089452054794545
2000,53.69320547945207,74.21123287671233,47.1466301369863,57.677369863013695,1.2163835616438352,14.884876712328794,0.04356164383561641,29.96539726027398,30.127972602739693
2001,52.92770491803281,72.1301639344262,45.837868852459,56.14508196721312,1.2936612021857918,14.646092896174883,0.10762295081967217,29.989999999999977,30.157896174863385
2002,52.98405479452058,72.211506849315,46.71019178082193,56.66690410958905,1.1204657534246578,13.769479452054814,0.11643835616438362,29.994657534246592,30.153589041095895
2003,52.546630136986316,71.28438356164378,46.23528767123293,56.46865753424654,1.2178630136986304,14.123424657534265,0.04509589041095892,29.982958904109587,30.153671232876718
2004,52.61419178082195,71.5906301369863,47.026301369863,57.25819178082191,1.5326027397260287,14.553945205479476,0.10482191780821921,29.953534246575316,30.12487671232878
2005,53.83736263736262,72.00104395604394,47.49730769230765,57.29197802197799,0.9122252747252745,13.921895604395619,0.16101648351648354,29.996236263736243,30.152637362637325
2006,54.183890410958924,74.05539726027393,45.06504109589039,55.25452054794514,0.9046027397260271,14.078876712328793,0.09194520547945204,29.95928767123286,30.11830136986302
2007,54.26427397260271,74.59934246575347,44.7854246575343,55.40690410958899,1.3547945205479448,14.807178082191815,0.13295890410958908,29.956657534246556,30.123123287671238
2008,54.832876712328826,73.74126027397259,45.343178082191834,55.332438356164346,1.0579999999999998,13.896849315068518,0.12068493150684932,29.988849315068528,30.14915068493151
2009,52.55000000000007,71.86213114754104,45.2127868852459,56.00049180327863,1.4613934426229511,15.310655737704938,0.1511475409836066,29.955601092896174,30.133606557377032
2010,52.93671232876716,71.28241095890411,46.00449315068493,56.27041095890413,1.1342465753424658,14.625068493150712,0.21101369863013703,29.949917808219176,30.12041095890413
2011,53.883068493150695,74.09041095890407,45.13753424657534,54.99610958904107,0.9569315068493155,14.331452054794491,0.10024657534246574,29.944794520547923,30.10134246575344
2012,54.079342465753435,74.05046575342465,46.280164383561626,56.62054794520545,1.1903561643835616,14.934383561643847,0.14926027397260275,29.9349315068493,30.102191780821936
2013,55.55238356164385,76.3066301369862,46.23972602739732,57.27693150684924,0.9421917808219172,14.828438356164407,0.0978082191780822,29.9530410958904,30.112849315068495
2014,52.60280991735535,71.81471074380165,45.06611570247936,55.169421487603266,0.9189256198347104,14.105922865013783,0.12818181818181815,29.98920110192838,30.14887052341595
2015,51.64169863013704,70.6861917808219,42.75857534246571,53.483123287671205,1.1186027397260268,14.758739726027414,0.12224657534246573,29.97758904109591,30.14915068493151
2016,54.83824175824176,73.82675824175821,46.26153846153849,55.975109890109856,0.8436538461538458,14.063763736263756,0.14802197802197803,29.98717032967031,30.151620879120895
2017,55.83721311475407,74.66147540983604,48.10557377049177,57.74147540983605,1.1312841530054643,14.65371584699455,0.1432786885245902,29.980765027322402,30.142595628415297
