Year, Data Item, Value
2017, INVENTORY, 33000
2016, INVENTORY, 32000
2015, INVENTORY, 29000
2014, INVENTORY, 27000
2013, INVENTORY, 26000
2012, INVENTORY, 25000
2011, INVENTORY, 31000
2010, INVENTORY, 34000
2009, INVENTORY, 28000
2008, INVENTORY, 27000
2007, INVENTORY, 31000
2006, INVENTORY, 36000
2005, INVENTORY, 28000
2004, INVENTORY, 23000
2003, INVENTORY, 24000
2002, INVENTORY, 24000
2001, INVENTORY, 26000
2000, INVENTORY, 29000
1999, INVENTORY, 27000
1998, INVENTORY, 27000
1997, INVENTORY, 35000
1996, INVENTORY, 30000
1995, INVENTORY, 45000
1994, INVENTORY, 45000
1993, INVENTORY, 53000
1992, INVENTORY, 52000
1991, INVENTORY, 50000
1990, INVENTORY, 55000
1989, INVENTORY, 50000
1988, INVENTORY, 48000
1987, INVENTORY, 44000
