Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1987,10.907384615384617,11.261846153846152,7.600923076923077,7.753230769230769,2.407538461538462,2.6909230769230774,0.0,8.802307692307693,8.803384615384614
1988,8.144444444444444,8.507301587301587,5.17015873015873,5.264444444444444,1.0226984126984129,1.2969841269841271,0.0,5.260317460317461,5.261428571428571
1989,11.534920634920635,11.917777777777774,6.106349206349205,6.346349206349207,1.8812698412698414,2.173650793650794,0.0,8.106349206349206,8.107619047619048
1994,16.87843003412969,24.103003412969265,10.297064846416394,13.777269624573394,1.4427303754266225,6.018088737201364,0.0,11.374812286689414,11.42064846416382
1995,34.59227397260277,55.12756164383564,22.895726027397266,33.088657534246565,1.8424109589041127,15.872164383561625,0.01282191780821917,25.59243835616437,25.749945205479456
1996,36.695737704918024,63.605245901639314,22.79147540983606,36.08737704918034,2.083442622950824,19.48991803278685,0.01319672131147541,29.90390710382513,30.111065573770535
1997,37.14454794520548,60.85967123287675,25.485479452054776,37.40542465753426,2.0811232876712356,19.397835616438332,0.04405479452054793,29.94476712328766,30.140273972602717
1998,38.158958904109554,63.32049315068493,25.09835616438356,37.46213698630136,1.9399178082191824,18.43594520547947,0.026356164383561632,29.88427397260278,30.091452054794523
1999,38.767999999999994,64.42663013698632,24.214630136986298,36.845698630136994,2.094739726027401,20.06347945205482,0.05287671232876714,29.940849315068473,30.151506849315055
2000,37.849508196721324,64.54213114754101,23.73475409836065,36.89540983606558,2.072404371584704,19.72606557377052,0.036912568306010925,29.938497267759548,30.139808743169393
2001,39.54372602739729,63.70761643835612,24.753150684931505,37.252054794520525,1.9710136986301403,19.752410958904132,0.04320547945205477,29.922739726027405,30.133999999999993
2002,37.39013698630137,63.46252054794523,20.645698630136987,34.06186301369862,2.1255890410958944,20.00282191780825,0.0050684931506849345,29.93432876712328,30.13821917808219
2003,38.39073972602738,63.61687671232874,24.047945205479458,36.35698630136986,2.0821917808219217,19.202191780821945,0.034876712328767094,29.93726027397262,30.12846575342467
2004,37.92868852459017,63.211803278688485,25.249016393442627,37.421147540983604,2.3465846994535546,19.240956284153036,0.039316939890710376,29.94964480874317,30.13931693989071
2005,38.6052602739726,64.91386301369862,22.988164383561653,36.44772602739723,2.2182191780821956,19.536931506849335,0.03413698630136985,29.93687671232873,30.12106849315069
2006,38.69994520547943,65.33452054794516,20.91052054794522,34.69260273972605,2.3205753424657587,20.506,0.022136986301369857,29.942739726027398,30.144191780821917
2007,38.34093150684933,63.55819178082187,23.667726027397247,37.17216438356163,1.7293698630136995,19.747178082191805,0.03772602739726027,29.935726027397244,30.133835616438347
2008,37.20377049180331,63.85704918032779,20.504590163934427,35.261147540983636,1.7783879781420768,20.26773224043716,0.026803278688524577,29.898251366120213,30.11620218579236
2009,37.28657534246576,62.57189041095888,23.764383561643836,36.57298630136984,1.6982465753424667,19.854136986301384,0.04295890410958903,29.930465753424645,30.12608219178079
2010,38.46964383561645,64.66136986301362,22.348547945205482,36.60405479452055,1.3574246575342475,19.14758904109586,0.03553424657534246,29.90164383561643,30.10263013698631
2011,37.9178082191781,64.09473972602741,19.113479452054793,34.68076712328764,1.6705753424657537,22.466219178082202,0.046000000000000006,29.904958904109577,30.10808219178081
2012,40.889344262295104,67.47868852459014,18.45426229508196,34.0562295081967,1.9009836065573797,20.598005464480902,0.024836065573770487,29.924289617486338,30.12199453551913
2013,37.70575342465752,63.2637808219178,21.696109589041107,35.56449315068491,1.528,20.086684931506866,0.0446849315068493,29.94315068493152,30.13493150684934
2014,37.846794520547945,63.74904109589043,23.224383561643844,36.816602739726015,1.9630410958904152,20.3103287671233,0.04939726027397259,29.934136986301368,30.135780821917816
2015,39.96093150684931,64.58838356164384,25.809479452054763,38.88389041095889,1.739041095890412,19.100219178082213,0.04715068493150685,29.946849315068516,30.151479452054797
2016,39.41590163934424,65.83950819672135,23.39934426229508,36.73311475409834,1.9796994535519155,20.095710382513676,0.029699453551912558,29.951639344262293,30.144918032786908
2017,39.73109890109887,66.62923076923077,23.26604395604394,36.05049450549449,2.224368131868138,20.76760989010991,0.0313186813186813,29.941785714285732,30.142500000000002
