Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1987-10-09,33.08,33.08,24.08,24.08,11.51,11.51,0.0,30.41,30.41
1987-10-10,28.94,28.94,23.0,23.0,8.06,8.06,0.0,30.4,30.4
1987-10-11,42.98,42.98,17.96,17.96,5.75,5.75,0.0,30.32,30.32
1987-10-12,33.08,41.0,19.04,21.92,4.6,5.75,0.0,30.28,30.29
1987-10-13,41.0,44.06,39.02,41.0,8.06,11.51,0.0,30.16,30.18
1987-10-14,37.94,37.94,35.96,35.96,6.9,6.9,0.0,30.18,30.18
1987-10-15,51.08,51.08,35.06,35.06,16.11,16.11,0.0,30.07,30.07
1987-10-16,41.0,41.0,33.98,33.98,9.21,9.21,0.0,30.17,30.17
1987-10-17,44.96,48.02,26.96,28.04,3.45,4.6,0.0,30.12,30.12
1987-10-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-10,37.04,39.02,30.92,30.92,0.0,4.6,0.0,30.32,30.32
1987-11-11,37.94,37.94,28.94,28.94,4.6,4.6,0.0,30.32,30.32
1987-11-12,42.98,46.94,24.98,26.96,6.9,9.21,0.0,30.01,30.02
1987-11-13,42.08,42.08,26.06,26.06,6.9,6.9,0.0,30.0,30.0
1987-11-14,35.96,39.02,30.02,30.92,5.75,11.51,0.0,29.62,29.63
1987-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-16,23.0,23.0,14.0,15.08,8.06,8.06,0.0,29.81,29.83
1987-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-18,28.94,28.94,17.06,17.06,10.36,10.36,0.0,30.3,30.3
1987-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987-12-10,50.0,50.0,32.0,32.0,20.71,20.71,0.0,29.79,29.79
1987-12-11,35.06,35.06,32.0,32.0,12.66,12.66,0.0,29.88,29.88
1987-12-12,21.92,21.92,3.02,3.02,6.9,6.9,0.0,29.99,29.99
1988-10-10,48.02,48.02,37.04,37.04,5.75,5.75,0.0,30.36,30.36
1988-10-11,44.06,44.96,33.08,33.98,5.75,6.9,0.0,30.31,30.34
1988-10-12,59.0,64.04,26.06,28.04,6.9,13.81,0.0,30.14,30.15
1988-10-13,55.94,55.94,30.92,30.92,9.21,9.21,0.0,30.16,30.16
1988-10-14,64.04,64.04,35.96,35.96,9.21,9.21,0.0,30.06,30.06
1988-10-15,57.92,57.92,37.94,37.94,4.6,4.6,0.0,30.08,30.08
1988-10-16,55.04,66.02,32.0,33.98,4.6,8.06,0.0,30.03,30.03
1988-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-18,48.02,48.02,35.96,35.96,4.6,4.6,0.0,30.21,30.21
1988-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-10,32.0,32.0,26.96,26.96,3.45,3.45,0.0,29.99,29.99
1988-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-09,26.06,28.94,19.94,19.94,3.45,8.06,0.0,30.1,30.13
1988-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988-12-11,26.06,26.06,19.94,19.94,9.21,9.21,0.0,30.2,30.2
1989-10-10,57.02,57.02,30.02,30.02,12.66,12.66,0.0,30.01,30.01
1989-10-11,53.96,55.04,26.06,26.96,6.9,6.9,0.0,30.0,30.0
