Year, Data Item, Value
2017, INVENTORY, 205000
2016, INVENTORY, 215000
2015, INVENTORY, 220000
2014, INVENTORY, 245000
2013, INVENTORY, 220000
2012, INVENTORY, 193000
2011, INVENTORY, 180000
2010, INVENTORY, 200000
2009, INVENTORY, 170000
2008, INVENTORY, 150000
2007, INVENTORY, 160000
2006, INVENTORY, 170000
2005, INVENTORY, 160000
2004, INVENTORY, 205000
2003, INVENTORY, 210000
2002, INVENTORY, 220000
2001, INVENTORY, 220000
2000, INVENTORY, 232000
1999, INVENTORY, 228000
1998, INVENTORY, 230000
1997, INVENTORY, 240000
1996, INVENTORY, 240000
1995, INVENTORY, 230000
1994, INVENTORY, 230000
1993, INVENTORY, 200000
1992, INVENTORY, 220000
1991, INVENTORY, 225000
1990, INVENTORY, 220000
1989, INVENTORY, 250000
1988, INVENTORY, 240000
1987, INVENTORY, 240000
