Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,69.53271232876713,83.30986301369863,61.32421917808215,69.19391780821915,4.598246575342461,17.248684931506883,0.1330684931506849,29.974520547945204,30.078136986301377
1989,69.69327868852456,83.19377049180332,61.4295081967213,69.34754098360656,5.362896174863385,18.370765027322427,0.12163934426229506,30.00407103825137,30.10475409836066
1990,70.11758904109591,84.45989041095896,62.470301369862966,69.8231780821918,5.338438356164384,17.62046575342469,0.11679452054794519,30.013561643835644,30.109726027397258
1991,71.52602739726028,84.40071232876718,63.549808219178054,70.0628493150685,3.7757808219178073,16.530328767123315,0.14167123287671235,30.0264109589041,30.12386301369863
1992,71.36821917808213,83.98843835616442,64.16723287671228,70.67287671232877,3.072739726027393,16.170383561643856,0.19564383561643847,30.013808219178088,30.112356164383552
1993,70.3380327868853,83.29901639344263,62.58622950819667,69.74885245901635,3.7085792349726767,16.701584699453583,0.1565300546448087,29.994644808743168,30.09535519125683
1994,70.79320547945203,83.84789041095894,62.3317260273972,69.83402739726029,4.330328767123289,16.712931506849337,0.1673972602739726,29.997287671232904,30.10315068493155
1995,72.11780821917806,84.02246575342465,64.5134246575342,71.16356164383556,3.6909589041095874,16.145506849315094,0.21745205479452068,29.99419178082191,30.09389041095892
1996,70.70641095890404,83.5727123287671,63.02756164383564,70.33063013698634,1.4527123287671235,14.30515068493153,0.21671232876712332,29.950876712328757,30.052630136986288
1997,69.9495081967213,82.86278688524595,61.6104918032787,69.01852459016396,2.4392349726775957,15.567021857923512,0.151448087431694,29.992950819672128,30.089562841530057
1998,71.10536986301376,83.3083835616438,63.82005479452053,71.23802739726021,1.9570958904109608,15.540328767123304,0.19271232876712333,29.966383561643838,30.07098630136988
1999,71.78739726027399,83.75961643835615,63.98624657534246,71.16799999999996,2.4585205479452084,16.076109589041106,0.08268493150684933,29.95846575342466,30.062191780821895
2000,70.02438356164387,82.93605479452046,62.65819178082187,69.7541369863014,1.6592328767123288,15.471123287671253,0.0009863013698630139,29.977205479452024,30.078602739726044
2001,70.29573770491818,82.90704918032787,62.84442622950814,69.784262295082,1.8243715846994555,15.044398907103847,0.16390710382513662,30.005136612021836,30.103005464480898
2002,70.52000000000011,82.78120547945201,63.5103561643836,70.58657534246574,2.3227123287671247,15.334219178082192,0.190109589041096,30.005150684931504,30.102027397260297
2003,71.27600000000004,83.57715068493137,64.27079452054801,72.01671232876703,1.999890410958907,14.59657534246576,0.0341917808219178,29.99906849315069,30.098904109589043
2004,70.70887671232884,83.43857534246565,63.359945205479455,71.09698630136984,1.4524931506849315,14.637589041095916,0.18282191780821927,29.977616438356176,30.079178082191795
2005,70.38819672131154,82.84655737704928,62.5734426229508,70.05524590163928,2.5955737704918045,15.548579234972692,0.1475409836065574,30.00808743169401,30.112021857923487
2006,70.1629589041097,83.0134794520547,63.07194520547951,71.18526027397257,2.1649041095890427,15.259287671232904,0.18282191780821916,29.952986301369855,30.058410958904133
2007,70.7187397260274,83.26005479452057,60.32115068493157,68.18345205479459,2.028109589041098,15.074493150684958,0.16830136986301367,29.99205479452053,30.09216438356164
2008,71.43923287671237,83.86465753424666,61.098849315068435,68.597698630137,2.4223835616438376,15.438767123287683,0.1727671232876712,29.982493150684924,30.083342465753454
2009,71.3265573770492,83.68950819672125,61.42950819672125,69.10311475409837,2.6024863387978163,15.570874316939905,0.13631147540983604,29.996475409836084,30.098770491803286
2010,71.32728767123292,84.20739726027396,62.54279452054789,70.23249315068492,1.8624383561643862,14.757315068493195,0.12419178082191783,29.993780821917813,30.093616438356204
2011,68.96657534246575,82.1430684931507,59.659342465753475,67.77117808219172,1.6744657534246583,14.687890410958873,0.17789041095890418,29.95723287671231,30.063095890410974
2012,71.71835616438366,84.45742465753419,62.52257534246582,69.71616438356153,1.4290958904109592,14.68210958904111,0.16142465753424662,29.975863013698643,30.07400000000003
2013,70.93065573770494,83.28131147540981,62.02557377049173,69.381475409836,1.5244808743169407,14.71863387978145,0.19355191256830603,29.989863387978158,30.089863387978166
2014,71.73956164383559,83.59391780821913,63.55967123287668,70.44010958904106,1.55668493150685,14.497424657534266,0.17205479452054795,29.998356164383555,30.096739726027405
2015,70.94509589041101,83.78378082191772,62.29868493150676,70.09243835616425,1.414958904109589,14.755506849315084,0.16528767123287672,29.9924109589041,30.094246575342495
2016,73.16032876712337,84.82531506849308,64.58147945205482,71.52010958904116,1.9478082191780832,15.061561643835619,0.14917808219178086,29.994410958904073,30.09235616438355
2017,71.97278688524602,83.85377049180333,62.96639344262292,70.64000000000003,2.102295081967215,15.07983606557377,0.15215846994535517,29.99573770491805,30.097978142076524
