Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1987,53.78497237569058,72.19469613259666,42.82486187845305,53.35287292817676,3.895828729281772,15.809861878453077,0.12251381215469613,30.0003038674033,30.137403314917126
1988,52.84655737704919,71.62754098360655,41.37819672131147,52.48311475409834,3.337622950819677,15.564863387978189,0.12412568306010935,30.0210655737705,30.15803278688525
1989,53.808109589041095,71.66016438356168,44.55610958904113,54.85260273972604,3.1065479452054854,15.638849315068528,0.17257534246575346,30.027808219178088,30.160684931506854
1990,55.477424657534264,74.51156164383563,46.49369863013704,56.91643835616436,3.330876712328775,15.809068493150713,0.15769863013698637,30.04493150684931,30.18657534246571
1991,55.127287671232885,72.38164383561647,47.3409315068493,56.97906849315073,3.7632328767123306,15.691835616438397,0.15301369863013697,30.039890410958893,30.17435616438355
1992,53.21295081967213,70.52590163934423,45.54868852459016,55.12065573770488,3.601420765027327,15.6367486338798,0.16423497267759557,30.00385245901637,30.141147540983592
1993,54.24849315068494,72.46498630136985,44.106356164383584,54.58087671232879,3.252356164383569,16.212054794520576,0.13153424657534246,30.00484931506848,30.145999999999976
1994,55.48728767123288,72.90734246575343,47.73446575342465,57.89139726027398,4.566986301369862,16.732082191780844,0.16408219178082192,30.016821917808226,30.15860273972603
1995,53.99846575342466,72.3308493150685,45.24356164383564,55.97402739726031,3.873561643835617,16.291150684931523,0.14399999999999996,29.97939726027394,30.11887671232877
1996,53.29163934426231,72.14393442622956,43.52049180327869,54.56639344262287,1.9989344262295101,14.907459016393453,0.11568306010928965,29.993661202185777,30.146229508196694
1997,52.49435616438354,69.78865753424655,44.492,55.120876712328744,2.1239452054794543,14.137917808219221,0.11358904109589038,29.978136986301372,30.123041095890414
1998,54.80821917808226,71.98367123287673,48.30060273972606,57.235999999999926,1.8654246575342484,14.287479452054823,0.06115068493150686,29.9701095890411,30.107890410958873
1999,53.87567123287679,72.23961643835607,44.67495890410962,55.15441095890412,1.5629863013698624,14.100821917808233,0.03646575342465751,30.01224657534248,30.146767123287674
2000,52.63508196721311,71.12442622950817,44.97819672131147,55.08967213114748,1.7058743169398911,14.482486338797841,0.09666666666666673,30.02786885245902,30.167540983606557
2001,53.486082191780795,71.44120547945202,45.23517808219177,55.29545205479448,1.8244109589041118,13.903315068493155,0.10476712328767125,30.03687671232875,30.167205479452058
2002,53.962465753424645,71.44268493150686,46.16772602739727,56.12493150684925,2.1771232876712334,14.786328767123297,0.05520547945205481,30.022301369863026,30.16638356164379
2003,53.11671232876711,70.15605479452053,46.29643835616439,56.050958904109635,2.1015342465753446,15.120191780821942,0.13810958904109594,29.987835616438353,30.129780821917805
2004,54.17639344262298,70.96459016393435,45.63032786885242,55.427049180327785,2.6708469945355207,14.991448087431715,0.14150273224043716,30.02445355191255,30.164754098360675
2005,53.53391780821921,70.77495890410952,44.77654794520547,54.55917808219175,2.51446575342466,15.244849315068505,0.14630136986301365,29.981561643835622,30.12323287671233
2006,54.27167123287672,72.41271232876711,43.64032876712328,54.47189041095885,2.364931506849318,15.313808219178098,0.13043835616438354,29.994082191780834,30.135534246575336
2007,55.193296703296646,73.74318681318678,42.57747252747253,53.790384615384596,2.148159340659343,15.290934065934067,0.0814010989010989,30.023131868131852,30.172225274725257
2008,53.41553719008265,71.59553719008258,42.59570247933885,53.65355371900821,2.290523415977963,15.529586776859519,0.0936363636363637,30.001432506887053,30.15046831955924
2009,53.61380821917812,70.48942465753424,45.85901369863013,55.62093150684923,2.079945205479453,15.062438356164394,0.1746301369863014,29.99397260273972,30.13553424657534
2010,53.342575342465786,71.67939726027392,43.711342465753425,53.152219178082184,2.0933972602739748,15.176136986301335,0.13246575342465755,29.96556164383564,30.10345205479453
2011,54.572493150685006,73.5898630136986,43.99342465753425,54.61194520547942,2.1551506849315087,15.484684931506882,0.09997260273972601,29.978438356164375,30.12383561643834
2012,56.26852459016399,74.49721311475412,45.49508196721312,55.867213114754065,1.6813661202185792,14.61188524590166,0.0950546448087432,29.998934426229503,30.134590163934412
2013,53.69123287671232,70.4189041095891,45.03199999999997,54.932493150684856,2.0040547945205507,14.765013698630156,0.16616438356164387,30.025616438356195,30.166438356164413
2014,52.99274725274726,71.54708791208787,43.16148351648355,54.07818681318679,1.8359065934065937,15.00854395604398,0.1176648351648352,30.005824175824173,30.145934065934078
2015,56.089835164835165,73.04494505494505,47.026043956043985,56.94087912087915,1.980934065934068,14.758598901098926,0.16945054945054944,30.027554945054955,30.164450549450546
2016,56.39245901639351,75.02737704918036,45.1055737704918,55.303606557377016,2.218907103825139,15.40401639344266,0.09505464480874316,30.019918032786894,30.159180327868853
2017,56.79487603305785,73.98611570247931,48.148429752066136,58.18280991735537,2.2212396694214895,15.369779614325093,0.12994490358126723,30.00292011019286,30.142534435261688
