Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1987,40.90383561643833,65.26104109589042,26.160109589041063,37.657424657534214,1.2950684931506842,15.405945205479473,0.023205479452054797,29.95438356164383,30.127780821917813
1988,40.193934426229504,64.21262295081966,26.221803278688515,37.56229508196724,1.5461475409836067,14.785136612021876,0.030874316939890678,29.96081967213114,30.154426229508204
1989,38.80646575342466,62.100931506849285,26.843123287671233,38.01643835616437,1.3202739726027393,14.598465753424682,0.028602739726027383,29.98202739726026,30.14972602739726
1990,40.03589041095888,63.982301369863045,26.521095890410955,37.95430136986299,1.7330684931506855,15.77123287671236,0.03290410958904109,29.941260273972592,30.12772602739726
1991,39.859835616438325,63.01079452054794,27.065041095890404,37.993260273972574,1.6669041095890422,14.327013698630156,0.025945205479452046,29.955945205479477,30.132575342465746
1992,41.598524590163905,65.50016393442627,27.62737704918035,38.413114754098366,1.869808743169401,15.686857923497273,0.02095628415300546,29.93699453551915,30.111475409836032
1993,38.24991735537191,59.768595041322314,27.467768595041335,38.10066115702484,1.9645179063360914,15.743663911845754,0.0330853994490358,29.963939393939402,30.140220385674937
1994,41.32005479452058,64.20816438356167,26.55758904109587,37.56323287671234,1.9914794520547974,15.868465753424688,0.02504109589041096,29.931643835616406,30.109506849315054
1995,41.539008264462794,63.31603305785124,29.524132231404955,40.28595041322314,1.5020385674931127,15.144600550964206,0.03688705234159778,29.92688705234157,30.09630853994492
1996,42.06816438356163,62.78295890410958,28.775287671232885,39.83221917808217,1.109150684931506,15.417808219178095,0.034876712328767094,29.90956164383564,30.09465753424657
1997,42.23873626373625,63.691868131868134,29.589780219780195,39.80181318681318,0.9448901098901092,15.25170329670332,0.027390109890109877,29.941950549450542,30.11846153846155
1998,43.795439560439576,63.888681318681286,32.620109890109894,41.896043956043954,1.0806043956043951,15.401923076923074,0.030274725274725262,29.88711538461541,30.060164835164848
1999,41.875342465753434,63.58334246575337,27.142465753424677,37.8615890410959,1.0764383561643827,15.57336986301371,0.0007397260273972604,29.93936986301371,30.132904109589028
2000,42.265409836065565,63.30721311475408,29.552295081967223,39.63524590163935,0.7951092896174857,14.96836065573771,0.002377049180327869,29.943989071038267,30.124945355191265
2001,42.16778082191784,63.666191780821876,28.5691506849315,38.81139726027398,0.875424657534246,15.129808219178088,0.0007397260273972604,29.937616438356173,30.115917808219177
2002,41.89408219178084,63.05961643835616,25.884438356164388,36.556712328767134,0.9669589041095887,15.433424657534264,0.0010684931506849315,29.951287671232855,30.128493150684925
2003,44.40816438356165,65.42723287671234,28.088821917808225,39.257698630136986,0.8379452054794516,15.01890410958907,0.002575342465753425,29.92852054794519,30.10276712328763
2004,43.02032786885246,63.14590163934429,28.866229508196714,39.20540983606556,0.8319945355191255,14.806666666666692,0.0008743169398907104,29.955136612021867,30.117295081967214
2005,42.05189041095894,62.87912328767123,27.619342465753434,38.10372602739725,0.8876986301369858,14.729397260273993,0.0005753424657534247,29.938082191780826,30.11416438356163
2006,43.32816438356163,64.23578082191781,27.376712328767113,38.350301369863054,1.1147671232876706,16.067863013698652,0.00035616438356164383,29.929287671232903,30.121178082191786
2007,43.18860273972598,65.38136986301369,25.90515068493151,37.55090410958903,0.8854794520547942,15.128986301369892,0.010739726027397258,29.938575342465768,30.123452054794516
2008,41.94918032786883,62.857213114754174,25.637049180327875,36.94606557377048,0.8135792349726773,15.302131147541001,0.02292349726775956,29.93183060109291,30.12926229508194
2009,42.701369863013696,62.53884931506853,26.091068493150683,36.94383561643836,0.5515068493150682,14.489150684931532,0.03473972602739725,29.942164383561668,30.123506849315053
2010,43.52986301369865,63.225808219178056,27.93495890410958,38.94849315068491,0.932328767123288,15.613780821917786,0.038575342465753414,29.887671232876706,30.07375342465755
2011,42.0716164383562,62.99945205479451,26.651287671232854,37.594794520547914,0.6961369863013694,15.226301369863037,0.027397260273972587,29.93268493150685,30.10994520547946
2012,44.43278688524592,66.29196721311469,26.34377049180326,38.299508196721305,0.8077595628415295,15.203688524590191,0.02595628415300544,29.905737704918014,30.095737704918026
2013,41.01183561643837,62.808602739726005,24.394136986301362,36.614904109589006,0.5480821917808218,14.740109589041117,0.022931506849315057,29.97391780821918,30.143808219178087
2014,44.0757808219178,64.3610410958904,28.465589041095907,39.41747945205481,0.6050410958904106,14.947835616438372,0.040027397260273954,29.9366301369863,30.116630136986334
2015,45.0443287671233,65.79561643835615,29.547068493150665,40.16065753424654,0.6429589041095888,14.795232876712348,0.030931506849315046,29.943643835616445,30.113260273972603
2016,43.813114754098365,64.93557377049174,27.266885245901644,38.711639344262295,0.7539617486338793,15.604863387978149,0.021448087431693987,29.93352459016393,30.115683060109294
2017,43.071978021978055,63.10587912087913,28.832692307692323,39.4704945054945,0.9506868131868127,15.36587912087914,0.0402197802197802,29.94274725274724,30.125164835164814
