Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,43.98264462809919,62.86479338842974,36.76528925619832,46.824958677685956,4.534435261707992,16.93487603305787,0.09741046831955923,29.928842975206607,30.116005509641877
1989,40.73961643835619,62.48065753424659,31.102465753424653,42.98739726027396,4.677479452054796,18.469342465753467,0.060657534246575356,29.911671232876692,30.117808219178077
1990,39.28802197802197,59.23192307692311,31.654835164835177,43.37906593406592,4.146456043956045,18.029807692307713,0.0803846153846154,29.95348901098902,30.161181318681308
1991,42.67404958677686,61.2046280991735,35.656528925619824,46.98462809917353,3.2768044077135006,17.229889807162568,0.12013774104683199,29.918815426997213,30.121845730027527
1992,42.226465753424655,60.90158904109588,35.590136986301395,46.46016438356161,3.060164383561647,16.61205479452057,0.10978082191780822,29.927315068493183,30.121095890410956
1993,41.909369863013666,59.61693150684933,34.760657534246576,45.83090410958908,2.54928767123288,15.115123287671254,0.0921095890410959,29.914958904109607,30.108712328767123
1994,40.529888268156405,56.65899441340784,35.03938547486033,45.166145251396635,3.4763687150838027,15.754636871508408,0.15248603351955306,29.92315642458099,30.116731843575423
1995,40.772032967032956,59.73236263736262,33.993351648351656,45.24335164835166,3.0080219780219832,15.3497252747253,0.07445054945054946,29.94719780219779,30.137280219780198
1996,41.38076923076921,58.649395604395636,34.15604395604395,45.01983516483518,3.8681318681318695,16.952005494505528,0.08013736263736264,29.913131868131856,30.105219780219752
1997,38.553278688524586,55.93459016393438,31.971967213114773,43.23180327868851,3.630109289617489,17.642814207650286,0.07163934426229511,29.893579234972684,30.107622950819664
1998,40.59648351648352,57.82752747252744,34.418626373626374,45.456978021978,3.4037637362637407,17.39475274725277,0.03967032967032964,29.90835164835166,30.115054945054936
1999,44.22471232876713,60.570191780821894,39.51265753424656,49.29232876712325,3.015041095890415,16.51668493150687,0.044849315068493135,29.886575342465775,30.070301369863017
2000,42.8606575342466,61.25073972602737,35.698136986301336,46.36153424657531,3.3364109589041107,17.164191780821945,0.021506849315068487,29.907917808219167,30.11810958904112
2001,41.76229508196718,60.236885245901654,34.250983606557405,45.33032786885247,3.290737704918037,17.437595628415327,0.0020765027322404376,29.924535519125655,30.129153005464467
2002,42.84512396694214,60.47074380165294,36.59818181818181,47.57966942148756,3.232148760330581,17.206694214876048,0.0049862258953168054,29.919146005509624,30.116225895316784
2003,41.9394520547945,60.80147945205476,34.64575342465758,45.45512328767124,3.657534246575347,17.47821917808221,0.010904109589041094,29.919643835616437,30.121315068493146
2004,41.308076923076904,60.06269230769231,33.87813186813188,45.00450549450553,3.046428571428576,17.05148351648352,0.005302197802197802,29.907774725274752,30.101840659340642
2005,42.00573770491801,59.48147540983604,35.85672131147543,47.099344262295055,3.152213114754101,17.69467213114756,0.003469945355191257,29.930300546448073,30.136256830601045
2006,43.32071428571425,61.50516483516482,36.40505494505496,46.817857142857136,3.033186813186817,17.314285714285752,0.0015659340659340659,29.913406593406606,30.094368131868148
2007,44.3131868131868,62.55747252747251,35.627197802197806,46.026648351648355,3.1970604395604427,17.63467032967034,0.0028021978021978027,29.88945054945054,30.091758241758217
2008,42.847835616438346,60.25605479452052,35.01068493150687,45.74164383561641,2.883150684931513,17.37983561643839,0.057068493150684935,29.91665753424659,30.120000000000008
2009,39.82557377049179,57.57918032786886,31.947377049180343,43.7929508196721,2.2181147540983615,17.605491803278714,0.12325136612021864,29.891147540983628,30.1078961748634
2010,41.7837912087912,59.263076923076916,32.88961538461538,43.52296703296704,2.613104395604401,16.368763736263766,0.10101648351648357,29.90357142857142,30.107060439560417
2011,43.08849315068495,60.70136986301369,34.803068493150654,45.28597260273974,2.3853698630137004,17.084054794520526,0.14071232876712322,29.898520547945225,30.08106849315067
2012,43.46624657534249,61.19304109589037,35.2853698630137,45.827945205479416,2.6434246575342506,17.232438356164398,0.09602739726027398,29.87810958904108,30.08035616438357
2013,46.01295081967213,66.05983606557369,35.67327868852462,46.69704918032784,2.608306010928965,17.419234972677604,0.05639344262295079,29.88702185792351,30.07967213114756
2014,41.904450549450594,59.93263736263732,33.32972527472527,44.11835164835165,3.122335164835169,17.82769230769233,0.07552197802197805,29.920989010988997,30.12159340659339
2015,40.704462809917366,58.67669421487601,32.100661157024774,43.698512396694206,2.9690909090909128,18.158980716253474,0.10647382920110196,29.90099173553718,30.11732782369145
2016,44.64980821917812,62.28142465753421,35.26120547945206,46.37583561643834,3.0538082191780873,17.31243835616442,0.1144109589041096,29.925123287671227,30.13142465753426
2017,46.11150684931504,63.456109589041105,38.085479452054784,48.19802739726027,3.0599178082191822,17.802465753424684,0.08786301369863016,29.907945205479457,30.107863013698616
