Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,48.729150684931476,67.5181917808219,39.94071232876713,50.2441095890411,3.151205479452064,15.585369863013716,0.08939726027397257,29.961068493150684,30.125589041095914
1989,46.58295081967216,66.98688524590172,36.86344262295082,48.76213114754099,3.2183060109289703,15.799945355191296,0.10270491803278688,29.96355191256831,30.143606557377048
1990,46.862575342465725,65.2176438356165,39.57282191780819,50.321041095890415,2.7034520547945298,14.403178082191824,0.13884931506849316,29.978630136986318,30.15490410958902
1991,50.192396694214864,69.18066115702479,42.1047933884298,52.94148760330576,3.2541322314049657,15.30920110192842,0.14873278236914603,29.97707988980717,30.149421487603295
1992,50.99197802197801,68.64087912087912,42.80939560439561,52.74401098901097,3.0556593406593455,14.5402197802198,0.1046153846153846,29.98664835164833,30.146950549450533
1993,48.62491803278688,66.10508196721312,41.15147540983609,51.39229508196724,2.749590163934435,14.146393442622985,0.11174863387978137,29.95710382513661,30.126803278688524
1994,47.98826446280992,65.76165289256197,42.24363636363632,52.382644628099236,2.4776033057851325,13.54727272727274,0.1259504132231405,29.963360881542737,30.13460055096422
1995,48.10307692307693,66.7286263736264,40.87637362637363,51.52258241758245,1.8514835164835173,13.8133241758242,0.09445054945054945,29.985686813186824,30.15469780219779
1996,48.65791208791209,66.07835164835161,41.36494505494503,52.11005494505494,1.9403571428571438,14.935989010989056,0.09258241758241761,29.946208791208797,30.116181318681342
1997,47.52438356164383,64.43106849315069,39.40860273972603,50.949808219178024,2.1684109589041114,15.909424657534256,0.12602739726027393,29.944383561643814,30.12627397260271
1998,48.00856353591162,64.86093922651935,40.479392265193404,51.42955801104965,2.0367955801105007,15.081464088397812,0.11273480662983426,29.93696132596682,30.126436464088385
1999,52.37182320441988,68.63248618784523,45.253370165745835,55.20856353591157,1.6833149171270725,14.545966850828748,0.0830939226519337,29.936602209944738,30.100000000000012
2000,50.199554317548746,69.08,41.75660167130919,52.818830083565416,1.9356824512534838,15.490584958217287,0.0015320334261838442,29.97002785515321,30.142395543175475
2001,48.45160220994475,66.05629834254138,41.20585635359117,52.0381767955801,1.9320441988950288,15.234585635359139,0.00975138121546961,29.981491712707165,30.163646408839767
2002,49.996509695290875,67.93019390581713,42.01218836565097,52.43274238227147,1.7516066481994461,14.82110803324101,0.002243767313019391,29.993573407202224,30.155540166204986
2003,50.67747252747255,67.77598901098906,43.35483516483514,53.599010989010914,1.9019230769230764,15.158818681318717,0.020137362637362637,29.975384615384584,30.15876373626374
2004,48.444602739726086,65.13430136986305,41.416712328767126,51.59287671232879,1.7365753424657535,14.794000000000004,0.0010684931506849315,29.941479452054804,30.1154520547945
2005,50.2130410958904,66.88498630136985,41.711123287671235,51.86016438356168,1.8805479452054803,15.204821917808244,0.001232876712328767,29.989041095890418,30.159452054794546
2006,49.90258241758241,67.10445054945055,40.86302197802197,50.82483516483512,1.6682142857142868,14.546840659340683,0.0012362637362637362,29.948571428571395,30.122225274725245
2007,49.97978082191779,67.02947945205482,40.946739726027396,51.1475616438356,1.7709863013698641,15.43975342465756,0.0020547945205479454,29.944383561643853,30.12027397260276
2008,51.222027397260256,69.49917808219176,38.958849315068484,50.02367123287668,1.5376986301369866,14.86309589041099,0.06599999999999999,29.977369863013713,30.153287671232874
2009,49.02087912087914,67.14945054945053,38.12939560439562,49.26714285714283,1.4853021978021974,15.521153846153865,0.1201923076923077,29.942527472527466,30.140274725274708
2010,48.814465753424706,65.22454794520547,40.00728767123287,50.185917808219116,1.5784657534246571,14.706356164383571,0.1333424657534247,29.943753424657572,30.12547945205481
2011,50.2204383561644,68.05621917808219,39.6162191780822,49.315013698630125,1.5186849315068498,14.08063013698628,0.10635616438356164,29.934027397260255,30.09717808219179
2012,50.85167123287671,67.94230136986302,41.58339726027399,51.43852054794516,1.648520547945205,15.613671232876756,0.1707945205479452,29.920602739726032,30.099232876712346
2013,51.386739726027415,70.31484931506841,41.20367123287673,51.71616438356162,1.3236438356164375,14.99567123287674,0.10791780821917817,29.94720547945206,30.116767123287648
2014,49.010743801652936,66.15537190082638,40.453057851239684,50.65999999999997,1.4385399449035807,14.720220385674958,0.13363636363636355,29.983360881542726,30.15812672176309
2015,47.81669421487603,65.80578512396688,38.2523966942149,49.45702479338837,1.9550964187327842,15.889393939393972,0.10947658402203857,29.958126721763094,30.14168044077133
2016,50.50893150684933,68.04290410958902,40.819506849315076,51.649589041095865,1.9504383561643848,15.452876712328777,0.156986301369863,29.985999999999997,30.165479452054825
2017,51.74147540983608,69.30721311475402,41.30540983606557,51.93770491803282,1.794590163934427,15.542103825136644,0.11453551912568306,29.971857923497254,30.14502732240437
