Year, Data Item, Value
2017, INVENTORY, 43000
2016, INVENTORY, 50000
2015, INVENTORY, 44000
2014, INVENTORY, 48000
2013, INVENTORY, 50000
2012, INVENTORY, 41000
2011, INVENTORY, 36000
2010, INVENTORY, 36000
2009, INVENTORY, 37000
2008, INVENTORY, 40000
2007, INVENTORY, 29000
2006, INVENTORY, 30000
2005, INVENTORY, 35000
2004, INVENTORY, 35000
2003, INVENTORY, 34000
2002, INVENTORY, 35000
2001, INVENTORY, 45000
2000, INVENTORY, 43000
1999, INVENTORY, 48000
1998, INVENTORY, 41000
1997, INVENTORY, 44000
1996, INVENTORY, 44000
1995, INVENTORY, 38000
1994, INVENTORY, 40000
1993, INVENTORY, 47000
1992, INVENTORY, 45000
1991, INVENTORY, 40000
1990, INVENTORY, 38000
1989, INVENTORY, 35000
1988, INVENTORY, 38000
1987, INVENTORY, 35000
