Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,37.44624309392267,55.29458563535913,30.427237569060733,42.51408839779004,2.684613259668508,15.9587016574586,0.10798342541436469,29.889392265193358,30.096602209944745
1989,38.068219178082174,55.49320547945209,29.77490410958904,42.81972602739721,3.752849315068501,16.678191780821944,0.11915068493150681,29.860493150684928,30.098301369863016
1990,36.719173553719024,54.23768595041321,28.72925619834708,41.61190082644627,3.21225895316805,16.227988980716283,0.11123966942148761,29.88851239669422,30.1331404958678
1991,39.92991735537191,56.90247933884303,31.93702479338843,45.24512396694214,2.3573829201101972,17.436198347107474,0.14228650137741047,29.875812672176313,30.13504132231402
1992,39.443149171270676,57.1771270718232,30.647016574585628,43.17342541436465,2.5673204419889535,16.32707182320444,0.15602209944751377,29.892845303867414,30.13196132596684
1993,37.20906077348068,53.78596685082875,28.630718232044185,41.5101657458564,2.446574585635363,16.40325966850831,0.10270718232044197,29.898618784530395,30.127127071823224
1994,37.53938718662953,54.82740947075211,29.984401114206122,42.84512534818943,2.5569359331476353,17.033760445682486,0.11225626740947078,29.89699164345405,30.150194986072453
1995,37.6578512396694,54.959173553719026,29.68628099173554,42.29917355371898,1.780688705234161,15.686225895316833,0.08250688705234165,29.889476584022056,30.128512396694255
1996,37.61747945205481,54.44821917808227,30.87857534246576,43.19747945205476,1.531616438356164,14.9732876712329,0.03542465753424656,29.858958904109585,30.085342465753424
1997,37.455081967213125,53.70180327868847,30.18672131147541,42.59245901639342,1.1975956284153002,15.429344262295112,0.1234972677595628,29.873715846994518,30.10590163934428
1998,37.09523287671235,54.409753424657445,28.9666301369863,41.97397260273973,1.1595890410958896,15.515342465753449,0.0584109589041096,29.808630136986284,30.058794520547934
1999,40.368021978021986,56.96560439560444,33.82620879120878,45.1968681318681,1.3684340659340657,15.23884615384616,0.06766483516483518,29.857060439560442,30.074285714285693
2000,39.11567123287673,57.13638356164379,31.072876712328764,43.851397260274,1.5054794520547945,16.007369863013732,0.01980821917808218,29.878219178082208,30.112246575342475
2001,37.9945901639344,54.78868852459016,30.474426229508175,42.65245901639343,1.3792622950819675,15.171939890710417,0.006065573770491802,29.867650273224008,30.10863387978139
2002,38.42328767123288,56.19643835616431,31.551232876712326,43.85780821917806,0.9610958904109581,14.566575342465777,0.007068493150684933,29.889561643835634,30.113424657534242
2003,39.00273972602742,55.779726027397246,31.47430136986301,43.65315068493148,1.0290958904109586,15.52882191780824,0.006794520547945204,29.86512328767125,30.12290410958902
2004,37.17758904109589,53.609369863013704,29.936164383561632,42.02969863013697,1.0177808219178082,14.530438356164398,0.00030136986301369865,29.861589041095858,30.102684931506854
2005,37.50180327868853,53.817868852458986,29.70573770491801,41.74262295081968,1.140710382513661,15.073770491803302,0.0015027322404371586,29.902568306010913,30.126202185792376
2006,38.27879452054795,54.59616438356167,31.35742465753427,42.84339726027399,1.2920821917808214,15.071643835616458,0.00263013698630137,29.86950684931508,30.103178082191782
2007,40.67501369863015,56.931232876712315,33.9878904109589,44.80465753424658,1.2317808219178084,14.781013698630167,0.003397260273972603,29.842410958904104,30.067917808219182
2008,37.79600000000001,54.800328767123226,29.4272328767123,41.56909589041095,1.1153424657534243,14.899424657534254,0.06512328767123286,29.865150684931507,30.10736986301367
2009,38.64721311475412,55.3827868852459,31.20918032786886,43.20573770491804,0.8296448087431687,14.417540983606582,0.17049180327868857,29.86601092896175,30.113907103825134
2010,38.12493150684929,54.783561643835625,31.048712328767092,42.630356164383564,0.9387945205479448,14.050493150684959,0.15698630136986305,29.86783561643834,30.112465753424665
2011,40.95167123287669,57.82038356164383,33.47945205479453,44.24739726027397,1.4010958904109596,15.620876712328743,0.14109589041095894,29.773178082191784,29.990027397260285
2012,39.82604395604396,56.434505494505494,32.985549450549485,44.5470879120879,1.0801098901098898,15.400054945054967,0.1304395604395604,29.84623626373627,30.088461538461534
2013,41.109180327868856,57.42032786885248,33.72081967213118,45.5221311475409,1.4893442622950817,14.36767759562845,0.14087431693989078,29.865191256830578,30.086311475409815
2014,38.87501369863012,55.25550684931505,31.0876712328767,43.044602739726,1.3293698630136983,14.976821917808236,0.11408219178082198,29.894602739726036,30.124602739725997
2015,38.402575342465745,54.878739726027405,30.595506849315026,42.38969863013699,1.2196164383561638,15.007835616438367,0.15197260273972601,29.875205479452028,30.11342465753422
2016,38.3734794520548,56.409972602739735,30.543726027397252,43.54515068493149,1.13758904109589,15.015068493150705,0.11175342465753431,29.904657534246567,30.14591780821914
2017,39.80688524590165,57.385901639344326,30.768524590163953,43.579508196721285,1.1124590163934422,15.111311475409853,0.10959016393442622,29.867923497267768,30.111775956284173
