Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1987,44.501863013698646,59.922191780821954,35.214849315068506,46.77627397260269,2.514109589041098,15.068821917808274,0.06320547945205479,28.448493150684953,28.638630136986308
1988,42.27633879781417,58.615027322404416,31.156448087431734,43.40530054644813,1.7318306010928968,14.618196721311538,0.05647540983606561,29.890792349726777,30.121666666666652
1989,41.126739726027395,56.87747945205477,31.08619178082194,43.72761643835615,1.4747945205479451,12.827123287671292,0.05945205479452056,29.939671232876737,30.15454794520549
1990,44.2962191780822,59.763890410958915,34.5515616438356,46.629808219178095,2.9251780821917803,15.174794520548016,0.051506849315068486,29.912547945205464,30.134027397260265
1991,45.09413698630134,60.38871232876708,35.48854794520546,46.6628493150685,3.98482191780822,16.18652054794529,0.04547945205479451,29.934547945205452,30.136164383561624
1992,42.3320218579235,56.30661202185794,34.84825136612022,45.71956284153008,3.13745901639344,16.22699453551918,0.06010928961748638,29.914480874316958,30.12251366120218
1993,42.55736986301369,57.337095890411,33.50164383561645,44.75830136986298,3.3511506849315054,15.531013698630206,0.032054794520547936,29.921945205479428,30.13315068493151
1994,42.15725274725274,58.11791208791205,32.348351648351645,43.98258241758243,3.0975000000000006,15.030027472527534,0.0513736263736264,29.9373076923077,30.146703296703325
1995,42.37906849315069,57.916273972602745,31.50301369863014,41.98295890410957,3.5140821917808243,14.286219178082252,0.054246575342465755,29.883369863013716,30.07569863013698
1996,41.53360655737705,57.28655737704916,31.815573770491827,42.61262295081968,3.922213114754102,14.18204918032795,0.07349726775956289,29.884562841530034,30.095655737704885
1997,42.212164383561614,57.72076712328768,31.981972602739706,43.08821917808219,4.200986301369864,14.456109589041162,0.04219178082191778,29.861479452054795,30.096931506849334
1998,46.666538461538465,62.93428571428575,36.87038461538462,48.763736263736305,3.228131868131871,14.66189560439563,0.019478021978021974,29.797692307692305,30.10271978021978
1999,44.0131506849315,61.85928767123294,33.84498630136987,46.79216438356166,3.096684931506849,16.718657534246585,0.01586301369863014,29.700904109589057,30.12975342465754
2000,42.679508196721294,58.72114754098362,33.44934426229509,46.20573770491796,2.904754098360661,15.810983606557414,0.002021857923497268,29.790109289617483,30.16855191256832
2001,44.78542465753425,59.00542465753419,35.22767123287674,46.54350684931506,2.535506849315074,14.771369863013708,0.0018630136986301368,29.93671232876712,30.131726027397285
2002,44.02597260273974,58.89101369863009,33.23090410958904,44.65819178082189,2.5898630136986336,15.345150684931532,0.006876712328767121,29.838931506849313,30.051123287671242
2003,41.858082191780845,56.87501369863015,32.437917808219154,44.71934246575344,2.3400547945205514,14.464027397260294,0.00016438356164383562,29.89857534246575,30.102356164383558
2004,43.09901639344265,57.67557377049178,34.30655737704919,46.048360655737696,2.460000000000001,15.473196721311501,0.0002459016393442623,29.937540983606546,30.151530054644837
2005,43.999342465753415,58.83479452054793,34.39967123287671,45.23517808219176,2.193041095890411,14.751972602739746,0.0023287671232876716,29.889479452054783,30.113150684931483
2006,45.4699178082192,59.86942465753424,35.38202739726027,45.82646575342465,2.2936438356164386,14.927643835616461,0.0026849315068493153,29.89361643835614,30.095835616438325
2007,43.71978021978018,59.05785714285709,32.61071428571427,44.60939560439559,2.0757142857142874,14.737087912087938,0.04049450549450548,29.933791208791213,30.13813186813189
2008,42.0637704918033,57.46311475409836,32.04770491803279,43.951803278688544,1.847677595628416,15.162677595628432,0.08019125683060113,29.885300546448057,30.11918032786886
2009,42.01441095890411,57.27101369863012,32.36049315068494,43.94953424657534,1.9473972602739724,14.604876712328789,0.08531506849315071,29.905808219178084,30.117041095890418
2010,44.392876712328764,59.22586301369861,35.07380821917805,45.33134246575342,1.972273972602741,14.193068493150658,0.07520547945205484,29.892438356164377,30.071041095890422
2011,43.32175342465753,57.98164383561642,35.3154520547945,46.22394520547944,1.8745205479452058,14.692136986301398,0.10698630136986305,29.876410958904106,30.084904109589026
2012,45.31754098360659,61.684754098360585,35.7249180327869,46.90950819672131,1.7659562841530059,14.379016393442644,0.06081967213114761,29.903360655737732,30.09939890710383
2013,42.34136986301371,57.40712328767116,33.454301369863046,44.94915068493148,1.8780000000000008,14.661616438356178,0.07994520547945211,29.924219178082183,30.133041095890448
2014,41.196986301369854,56.75441095890406,30.499561643835637,42.51912328767122,2.1618904109589057,15.102630136986338,0.08624657534246574,29.736356164383555,29.950356164383553
2015,42.61901369863012,58.691287671232836,32.95424657534247,45.10104109589042,2.177150684931507,15.069041095890437,0.062000000000000034,29.93882191780822,30.159397260273945
2016,44.50655737704919,60.105573770491844,35.436721311475424,47.03147540983608,2.0795628415300573,14.706721311475434,0.09748633879781421,29.91259562841527,30.122732240437152
2017,44.01945054945053,59.43516483516485,35.3923076923077,46.83664835164834,2.3092307692307728,15.06299450549453,0.07821428571428574,29.89719780219778,30.09978021978024
