Year, Data Item, Value
2017, INVENTORY, 126000
2016, INVENTORY, 124000
2015, INVENTORY, 122000
2014, INVENTORY, 132000
2013, INVENTORY, 130000
2012, INVENTORY, 125000
2011, INVENTORY, 120000
2010, INVENTORY, 128000
2009, INVENTORY, 122000
2008, INVENTORY, 122000
2007, INVENTORY, 130000
2006, INVENTORY, 125000
2005, INVENTORY, 120000
2004, INVENTORY, 135000
2003, INVENTORY, 120000
2002, INVENTORY, 117000
2001, INVENTORY, 135000
2000, INVENTORY, 150000
1999, INVENTORY, 145000
1998, INVENTORY, 140000
1997, INVENTORY, 145000
1996, INVENTORY, 150000
1995, INVENTORY, 165000
1994, INVENTORY, 170000
1993, INVENTORY, 180000
1992, INVENTORY, 190000
1991, INVENTORY, 180000
1990, INVENTORY, 170000
1989, INVENTORY, 165000
1988, INVENTORY, 160000
1987, INVENTORY, 160000
