Year, Data Item, Value
2017, INVENTORY, 145000
2016, INVENTORY, 159000
2015, INVENTORY, 146000
2014, INVENTORY, 162000
2013, INVENTORY, 159000
2012, INVENTORY, 145000
2011, INVENTORY, 145000
2010, INVENTORY, 157000
2009, INVENTORY, 146000
2008, INVENTORY, 134000
2007, INVENTORY, 135000
2006, INVENTORY, 132000
2005, INVENTORY, 130000
2004, INVENTORY, 140000
2003, INVENTORY, 145000
2002, INVENTORY, 134000
2001, INVENTORY, 136000
2000, INVENTORY, 124000
1999, INVENTORY, 122000
1998, INVENTORY, 115000
1997, INVENTORY, 107000
1996, INVENTORY, 117000
1995, INVENTORY, 106000
1994, INVENTORY, 119000
1993, INVENTORY, 95000
1992, INVENTORY, 87000
1991, INVENTORY, 86000
1990, INVENTORY, 98000
1989, INVENTORY, 100000
1988, INVENTORY, 105000
1987, INVENTORY, 95000
