Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,43.48934065934064,64.132967032967,36.728956043956046,47.29109890109889,2.888131868131873,16.819395604395634,0.0,29.907939560439576,30.1003846153846
1989,40.212438356164384,63.74410958904105,32.04487671232877,44.21928767123289,3.829643835616438,19.15616438356169,0.0,29.89230136986302,30.105041095890417
1990,39.19900552486186,61.31265193370164,31.581823204419862,43.3579005524862,3.3527348066298357,18.424889502762493,0.0,29.935414364640877,30.14925414364641
1991,41.88955801104973,63.5646408839779,34.77756906077351,46.474088397790055,3.533922651933702,18.873011049723786,0.0,29.89295580110497,30.10618784530388
1992,41.676363636363654,62.40066115702481,35.48942148760331,46.83338842975205,3.4856473829201158,17.34096418732786,0.0,29.904683195592316,30.10597796143248
1993,41.6115068493151,61.33408219178083,35.25035616438356,46.4330410958904,3.356465753424664,16.89558904109592,0.0,29.896575342465777,30.095808219178075
1994,40.01804469273742,58.37502793296086,34.902122905027916,45.63575418994413,3.2580446927374354,17.219860335195584,0.0,29.907541899441345,30.1123463687151
1995,40.42192307692308,61.97395604395606,34.346923076923076,45.927747252747274,2.92357142857143,17.37565934065938,0.005412087912087912,29.91835164835163,30.121758241758236
1996,40.920441988950245,61.05558011049713,34.99287292817678,45.59447513812151,2.8397790055248655,17.239281767955813,0.0,29.900801104972377,30.10831491712708
1997,38.58377049180327,57.876721311475386,31.975409836065573,43.44672131147541,3.0640710382513676,18.416420765027347,0.045546448087431676,29.895218579234992,30.11844262295081
1998,40.92158904109592,60.12783561643835,35.386958904109605,46.764931506849294,2.543123287671234,17.463095890410994,0.03999999999999999,29.911178082191775,30.12391780821915
1999,44.170958904109575,62.10487671232876,39.65715068493153,49.831835616438376,2.4582465753424683,16.890958904109613,0.05156164383561644,29.882849315068487,30.075287671232882
2000,42.49473972602738,63.01523287671229,37.21457534246575,48.57380821917804,2.461835616438358,18.007890410958943,0.02463013698630136,29.905753424657536,30.12402739726026
2001,41.6865573770492,62.37131147540985,35.629999999999974,47.36934426229507,2.6875956284153024,17.989726775956306,0.010683060109289617,29.919808743169394,30.137076502732285
2002,42.85934065934069,62.70335164835157,37.54538461538462,48.78401098901092,2.5806593406593414,17.90192307692309,0.018873626373626374,29.911208791208793,30.11945054945053
2003,42.07112328767123,62.66953424657525,34.20438356164383,45.16564383561643,2.6751506849315083,18.08194520547948,0.006520547945205479,29.919287671232844,30.1314520547945
2004,41.12495867768595,61.46446280991728,33.95223140495866,44.98876033057849,2.233856749311294,17.939944903581274,0.0037741046831955925,29.912561983471065,30.117961432506885
2005,41.75344262295086,61.27459016393438,34.6198360655738,46.04737704918033,2.422677595628418,18.121775956284154,0.0014754098360655738,29.927622950819707,30.141666666666683
2006,42.955342465753425,63.28942465753425,35.869260273972586,46.23430136986301,2.6134246575342495,17.971287671232897,0.0005753424657534246,29.90904109589042,30.10063013698631
2007,43.575041322314014,63.94479338842971,35.77305785123967,46.273553719008206,2.348374655647385,17.978898071625373,0.0005785123966942149,29.888815426997247,30.10818181818181
2008,42.373057851239686,61.90578512396692,35.47454545454548,46.28991735537188,2.5824242424242443,18.432754820936655,0.04975206611570251,29.91823691460055,30.1277134986226
2009,39.54126027397259,59.52175342465752,32.60509589041097,44.34208219178086,2.0233424657534256,18.641041095890422,0.09849315068493157,29.8837808219178,30.11591780821919
2010,40.39818681318681,59.74027472527468,33.994340659340665,45.09648351648352,2.047857142857145,17.695439560439596,0.07079670329670329,29.90769230769229,30.116401098901083
2011,42.49227397260277,61.165917808219135,35.82389041095891,46.32898630136983,2.0861643835616444,18.310356164383535,0.09528767123287674,29.8958904109589,30.08698630136987
2012,42.78569863013702,61.555506849315,35.145315068493176,46.36942465753421,2.3574794520547955,19.058575342465772,0.07528767123287673,29.875972602739754,30.08775342465755
2013,45.0480327868853,66.8590163934426,35.62459016393443,46.96459016393434,2.055710382513662,18.318306010928996,0.05631147540983606,29.8728142076503,30.0817486338798
2014,41.161703296703266,60.5389010989011,33.64868131868135,44.26324175824175,2.6014560439560457,18.50478021978024,0.07700549450549454,29.92101648351648,30.131346153846156
2015,40.84274725274725,60.60368131868131,32.616648351648365,44.00065934065932,2.863543956043959,20.25557692307697,0.10480769230769234,29.89447802197802,30.126730769230775
2016,43.99324175824177,63.36747252747247,37.07461538461538,47.57296703296701,2.6896978021978026,18.59524725274729,0.1147252747252747,29.920824175824166,30.130247252747246
2017,45.39101369863016,64.9104109589041,38.16536986301371,48.52745205479457,2.502630136986305,19.156493150684955,0.08841095890410958,29.898164383561628,30.10742465753425
