Year, Data Item, Value
2017, INVENTORY, 455000
2016, INVENTORY, 485000
2015, INVENTORY, 490000
2014, INVENTORY, 490000
2013, INVENTORY, 480000
2012, INVENTORY, 480000
2011, INVENTORY, 460000
2010, INVENTORY, 510000
2009, INVENTORY, 450000
2008, INVENTORY, 400000
2007, INVENTORY, 420000
2006, INVENTORY, 350000
2005, INVENTORY, 370000
2004, INVENTORY, 390000
2003, INVENTORY, 340000
2002, INVENTORY, 320000
2001, INVENTORY, 280000
2000, INVENTORY, 300000
1999, INVENTORY, 255000
1998, INVENTORY, 230000
1997, INVENTORY, 245000
1996, INVENTORY, 230000
1995, INVENTORY, 220000
1994, INVENTORY, 235000
1993, INVENTORY, 220000
1992, INVENTORY, 240000
1991, INVENTORY, 215000
1990, INVENTORY, 220000
1989, INVENTORY, 310000
1988, INVENTORY, 250000
1987, INVENTORY, 300000
