Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1987,36.90438356164384,56.33797260273976,29.934684931506855,41.42657534246575,4.062520547945211,18.12876712328769,0.04106849315068492,29.8821917808219,30.090547945205493
1988,32.873863013698625,54.31457534246577,24.544547945205483,37.222465753424636,5.067890410958908,20.137424657534275,0.039424657534246565,29.839095890410956,30.085150684931513
1989,29.69649315068494,50.54443835616438,22.497972602739733,35.81698630136987,5.046520547945207,20.42986301369867,0.052602739726027394,29.899479452054802,30.141123287671224
1990,33.760054794520535,55.08290410958901,26.037315068493115,38.43857534246574,4.633369863013702,20.023260273972635,0.04693150684931507,29.84805479452055,30.085780821917776
1991,34.15204419889502,53.389171270718236,26.57911602209944,39.097071823204416,4.779917127071823,18.994060773480705,0.05392265193370166,29.8682596685083,30.094088397790063
1992,32.99172602739728,51.48980821917809,26.807123287671242,38.16832876712328,4.2613972602739745,18.83821917808222,0.05569863013698632,0.1658082191780822,0.16663013698630136
1993,31.150934065934074,50.28978021978022,25.06851648351648,37.419780219780215,4.175439560439563,18.32370879120881,0.060137362637362676,29.889120879120856,30.111208791208806
1994,32.84082872928177,51.67519337016576,26.261878453038662,37.90022099447515,4.487486187845304,18.83571823204424,0.0602209944751381,29.887983425414365,30.108508287292793
1995,32.569175824175844,50.72296703296699,26.96000000000001,38.34351648351649,3.5431318681318706,18.162637362637387,0.05436813186813188,29.88835164835164,30.092417582417593
1996,28.50770491803279,47.3413114754098,22.74939890710383,34.62448087431692,4.039153005464485,19.3622131147541,0.020437158469945343,29.890846994535536,30.101967213114754
1997,31.281479452054793,50.533095890410905,25.23989041095894,37.96465753424657,3.807698630136987,19.232794520547962,0.02915068493150684,29.86449315068492,30.095260273972585
1998,36.250465753424635,54.21989041095886,30.587616438356168,41.08679452054795,3.4380000000000015,17.5966575342466,0.042794520547945185,29.8678904109589,30.06213698630138
1999,34.56400000000003,53.58482191780825,28.49380821917808,39.613863013698634,3.8822191780821904,19.67926027397261,0.011945205479452051,29.860136986301406,30.08336986301369
2000,32.252295081967226,51.628852459016336,26.316229508196734,38.89409836065574,3.2184699453551926,19.101939890710405,0.007568306010928958,29.887841530054647,30.099453551912553
2001,34.19057534246569,52.82969863013702,28.431561643835586,40.33227397260276,3.6465205479452103,18.937013698630153,0.001452054794520548,29.859041095890394,30.081561643835627
2002,33.03216438356162,51.99084931506848,26.61824657534247,39.36076712328769,3.797369863013702,18.976219178082214,0.0029863013698630137,29.860136986301345,30.08410958904109
2003,32.276657534246596,52.341972602739745,25.92635616438357,38.15205479452054,3.700410958904112,18.987123287671267,0.0004657534246575342,29.864328767123297,30.076301369863
2004,32.08655737704919,51.28852459016397,25.469836065573777,38.677213114754096,3.6996994535519128,19.892759562841572,0.0037158469945355187,29.862076502732247,30.118688524590166
2005,34.50619178082191,52.970246575342486,28.415780821917824,40.161150684931485,3.457890410958907,19.528767123287682,0.00016438356164383562,29.85090410958903,30.065232876712336
2006,35.98909589041092,55.08093150684934,28.836438356164383,39.86427397260273,3.2619178082191804,18.753534246575356,0.00030136986301369865,29.852712328767133,30.07145205479453
2007,34.10821917808221,52.82279452054787,27.396931506849352,39.28284931506851,3.169972602739727,18.79868493150688,0.03008219178082191,29.853178082191796,30.093178082191788
2008,30.518688524590164,49.89770491803275,24.394754098360654,36.818196721311466,2.882131147540985,19.18338797814211,0.07494535519125686,29.843688524590178,30.07590163934427
2009,31.40279452054796,49.58920547945204,24.869041095890402,36.46695890410959,3.1421095890410995,17.977616438356183,0.05591780821917812,29.879342465753428,30.093205479452056
2010,34.57276712328768,52.76361643835609,27.22482191780824,38.548547945205506,2.9189041095890427,18.06947945205476,0.0801917808219178,29.856136986301344,30.058849315068485
2011,33.96767123287673,52.64526027397258,26.29671232876712,37.65841095890412,3.39315068493151,19.09893150684933,0.06460273972602742,29.83536986301369,30.058821917808224
2012,35.96983606557378,57.0637704918032,27.333770491803293,39.52557377049185,2.671748633879785,19.007131147541013,0.028497267759562822,29.823606557377065,30.049535519125644
2013,31.143397260273957,49.956602739726016,24.151506849315062,36.4043287671233,2.8774246575342493,18.302493150684953,0.08216438356164388,29.88419178082194,30.11186301369863
2014,31.533479452054785,50.53753424657533,24.935616438356178,37.16082191780823,3.9684657534246583,20.37052054794522,0.1376712328767124,29.844356164383573,30.083369863013708
2015,35.63205479452058,55.88279452054787,27.997095890410947,40.106904109589024,3.429150684931508,19.29178082191781,0.05583561643835621,29.863123287671247,30.093753424657532
2016,37.632131147540996,56.09688524590161,30.050983606557377,41.51639344262294,3.8167213114754133,19.805683060109306,0.06131147540983607,29.843579234972683,30.06825136612022
2017,34.70049450549453,54.36945054945057,28.007857142857155,40.1084065934066,3.526291208791212,19.31228021978024,0.04032967032967032,29.84807692307693,30.075192307692284
