Year, Data Item, Value
2017, INVENTORY, 15000
2016, INVENTORY, 15000
2015, INVENTORY, 17000
2014, INVENTORY, 15000
2013, INVENTORY, 17000
2012, INVENTORY, 18000
2011, INVENTORY, 15000
2010, INVENTORY, 18000
2009, INVENTORY, 11000
2008, INVENTORY, 14000
2007, INVENTORY, 14000
2006, INVENTORY, 14000
2005, INVENTORY, 15000
2004, INVENTORY, 16000
2003, INVENTORY, 15000
2002, INVENTORY, 18000
2001, INVENTORY, 18000
2000, INVENTORY, 18000
1999, INVENTORY, 20000
1998, INVENTORY, 18000
1997, INVENTORY, 22000
1996, INVENTORY, 24000
1995, INVENTORY, 25000
1994, INVENTORY, 27000
1993, INVENTORY, 30000
1992, INVENTORY, 38000
1991, INVENTORY, 48000
1990, INVENTORY, 42000
1989, INVENTORY, 53000
1988, INVENTORY, 50000
1987, INVENTORY, 55000
