Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,46.38273972602743,64.54695890410966,40.02849315068493,48.24734246575345,1.5878904109589045,14.10638356164387,0.08156164383561648,29.976219178082196,30.144767123287696
1989,45.86245901639345,62.74311475409835,40.61245901639343,48.366721311475416,1.5084972677595632,14.564972677595643,0.08666666666666667,29.999863387978124,30.175081967213103
1990,45.670109890109885,61.86170329670327,40.37692307692309,48.32461538461533,1.731758241758244,15.258076923076953,0.08181318681318683,30.021483516483492,30.172142857142855
1991,46.74126027397261,62.73660273972597,41.27320547945208,49.075835616438326,1.3079452054794523,15.786712328767152,0.08947945205479459,29.99136986301365,30.165780821917814
1992,45.99945054945053,62.96741758241758,40.29384615384612,48.344890109890095,1.2735164835164834,14.74233516483519,0.09181318681318687,29.99401098901099,30.158186813186823
1993,47.59243835616438,65.21961643835617,42.057315068493125,50.202191780821934,1.468547945205479,15.502794520547976,0.07997260273972603,29.94090410958902,30.108054794520566
1994,45.24849315068494,61.61221917808219,40.192219178082205,48.00126027397259,1.7965479452054798,15.348356164383578,0.08295890410958905,29.976219178082182,30.148493150684935
1995,46.59183561643836,63.80673972602747,41.00591780821917,48.578739726027415,1.9097260273972612,15.34789041095892,0.09364383561643838,29.975506849315092,30.14498630136986
1996,47.686136986301356,63.72931506849317,40.71545205479451,48.68821917808219,1.9070958904109598,16.369890410958924,0.11882191780821913,29.92690410958904,30.100520547945205
1997,46.37139726027397,61.636383561643804,39.51364383561647,47.92876712328762,1.3990136986301367,15.335890410958923,0.16920547945205477,29.933232876712335,30.11895890410959
1998,47.36626373626375,62.486263736263716,41.66065934065932,49.800219780219756,1.1598351648351641,14.881620879120904,0.11763736263736262,29.973461538461553,30.148214285714253
1999,47.94602739726032,62.55068493150685,42.61063013698633,49.99999999999992,1.269616438356164,14.543616438356176,0.06802739726027394,29.91147945205481,30.089698630136997
2000,46.328493150684935,61.90613698630133,40.5083287671233,48.77501369863011,1.3859178082191779,15.060986301369889,0.0015616438356164386,29.976849315068495,30.168246575342486
2001,45.85852459016397,61.551967213114736,40.398524590163966,48.35540983606554,1.196693989071038,14.51245901639346,0.00863387978142076,29.987896174863415,30.165519125683055
2002,45.727342465753466,62.02104109589038,40.323397260273985,48.27791780821919,1.2227123287671224,14.83652054794522,0.003287671232876713,29.972410958904106,30.152027397260294
2003,46.12827397260279,62.74350684931502,39.79178082191782,47.94750684931506,1.0040821917808214,14.772794520547967,0.005780821917808221,29.995315068493184,30.164136986301376
2004,47.56383561643836,63.636109589041055,41.02909589041095,49.05956164383562,1.2290958904109583,14.727397260274007,0.0012328767123287675,29.959479452054808,30.125726027397242
2005,47.91770491803278,63.445901639344264,41.8365573770492,49.54754098360653,1.112349726775956,13.903278688524608,0.0021584699453551914,29.975819672131127,30.14204918032785
2006,46.433041095890445,62.58668493150677,41.25545205479455,49.05315068493152,1.080602739726027,14.330876712328783,0.0011232876712328767,29.95290410958908,30.126958904109586
2007,46.85123287671229,63.22038356164377,38.67972602739728,46.92224657534246,1.298410958904109,15.335671232876724,0.0004931506849315068,29.946602739726032,30.1451506849315
2008,46.14010958904112,61.72909589041094,39.262136986301364,47.402082191780835,0.6899178082191777,13.557972602739753,0.0456986301369863,30.004301369863008,30.177424657534257
2009,45.66278688524589,61.4595081967213,38.79032786885246,47.15098360655736,0.810819672131147,13.8349180327869,0.07054644808743168,29.98980874316939,30.17513661202185
2010,46.066136986301366,62.82339726027399,37.93408219178087,46.4867945205479,0.8695890410958901,13.867315068493172,0.0798904109589041,29.97679452054796,30.158438356164414
2011,46.65594520547945,61.38487671232872,40.37715068493151,48.17041095890404,1.2173424657534253,14.46920547945203,0.12704109589041102,29.904657534246578,30.093835616438316
2012,45.59468493150688,60.36257534246566,39.00569863013697,46.88230136986303,0.7064657534246571,13.070602739726061,0.09854794520547956,29.99134246575341,30.158136986301383
2013,46.718688524590206,62.28475409836058,39.68,48.01213114754095,0.9553278688524584,13.917704918032817,0.12172131147540981,29.937459016393454,30.123497267759554
2014,46.249589041095895,62.107835616438265,40.271616438356155,47.95835616438351,0.5479999999999997,12.300082191780842,0.0705205479452055,30.040849315068474,30.195479452054787
2015,48.08558904109592,64.08093150684928,41.042410958904114,49.16164383561638,1.1566301369863006,14.979479452054814,0.10895890410958911,29.95857534246576,30.13235616438358
2016,48.68624657534252,66.23156164383556,41.81813698630137,49.97780821917802,0.7685479452054795,13.73112328767127,0.10520547945205487,29.964986301369862,30.135232876712344
2017,48.744918032786885,64.30901639344258,41.027540983606585,48.874262295081955,0.8988524590163928,14.653060109289626,0.11412568306010935,29.947622950819657,30.128524590163956
