Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,47.01150684931509,64.47249315068494,37.666794520547946,49.47331506849318,4.985561643835616,15.254301369863038,0.09098630136986305,29.933534246575338,30.12813698630138
1989,45.53540983606559,63.8629508196721,36.50737704918034,48.29147540983614,4.440737704918034,16.02639344262298,0.10480874316939892,29.940109289617475,30.139918032786927
1990,46.40692307692306,63.022802197802214,37.4539010989011,49.57719780219785,3.5261538461538544,15.82057692307693,0.12975274725274724,29.95442307692308,30.15560439560439
1991,48.95024793388429,66.72512396694218,41.1418181818182,53.434380165289284,3.9515702479338874,15.923966942148782,0.09495867768595041,29.94247933884298,30.161074380165324
1992,49.60380165289257,67.02016528925618,38.81619834710744,51.051239669421506,3.948071625344359,16.009752066115716,0.09636363636363637,29.958236914600537,30.155592286501367
1993,47.48345205479449,63.24405479452058,36.31556164383566,48.61227397260276,5.250849315068495,17.088410958904145,0.08257534246575343,29.944794520547955,30.153424657534266
1994,48.843922651933674,65.05784530386742,37.48204419889503,49.90900552486182,4.359779005524865,16.346629834254163,0.10848066298342543,29.944198895027622,30.16049723756908
1995,48.624462809917375,65.51223140495861,37.72677685950415,50.43735537190084,3.2508539944903667,15.51220385674934,0.12206611570247938,29.961019283746584,30.168347107438034
1996,48.48701369863015,64.84284931506848,38.99583561643839,51.10712328767123,4.232739726027402,16.22778082191783,0.08602739726027395,29.926931506849304,30.123479452054795
1997,46.534262295082,61.275081967213076,37.492950819672124,49.604590163934425,2.297540983606559,16.46038251366121,0.10956284153005459,29.924071038251356,30.139125683060115
1998,46.61205479452055,63.143452054794516,35.31101369863013,48.709424657534235,2.889698630136991,17.01013698630139,0.050054794520547945,29.89052054794518,30.116575342465737
1999,50.239835164835185,66.07934065934064,40.95104395604395,52.04032967032962,2.5427197802197843,15.953846153846154,0.04620879120879119,29.914862637362663,30.10524725274726
2000,48.82159340659343,65.29653846153846,39.065989010989,51.89791208791204,2.4819230769230787,17.00255494505495,0.055631868131868115,29.949697802197825,30.149697802197796
2001,46.91098360655737,62.601967213114754,37.88196721311477,49.90508196721311,2.767622950819675,16.760628415300562,0.11819672131147545,29.952568306010907,30.154699453551906
2002,49.20582417582417,65.28170329670323,38.44983516483516,50.42230769230768,2.4062912087912127,16.096016483516514,0.08219780219780219,29.966236263736267,30.16343406593406
2003,49.50487671232877,65.80202739726028,38.835561643835646,51.31523287671227,2.777863013698634,17.225616438356177,0.04345205479452053,29.945123287671215,30.167095890410952
2004,47.566538461538485,62.481318681318676,38.71934065934063,50.99791208791207,2.5627472527472555,16.562857142857165,0.12013736263736269,29.92315934065934,30.13365384615385
2005,47.790327868852465,63.08885245901634,36.79016393442624,48.79557377049174,2.645846994535524,16.483633879781447,0.13196721311475415,29.96275956284151,30.160218579234947
2006,48.12750684931509,64.01139726027395,36.127671232876715,47.94208219178084,2.681479452054799,16.340739726027426,0.10726027397260278,29.924191780821932,30.127095890410946
2007,49.61484931506849,65.56778082191781,36.78652054794519,48.847013698630114,2.558191780821921,17.323643835616473,0.12758904109589037,29.911561643835636,30.105890410958864
2008,48.63408839779013,64.43828729281758,35.708895027624294,48.55303867403312,2.646270718232049,16.627845303867407,0.10395027624309396,29.95331491712709,30.1574861878453
2009,48.445095890411004,64.47594520547936,35.58224657534246,48.81545205479455,2.7319726027397304,17.07358904109592,0.10745205479452048,29.9247397260274,30.149506849315063
2010,48.112472527472555,63.31159340659334,36.94950549450548,48.853241758241744,2.452060439560444,16.817252747252763,0.13434065934065936,29.933763736263696,30.136950549450514
2011,49.78252054794521,65.61758904109583,36.49260273972601,48.064383561643794,2.8120821917808265,16.995863013698596,0.11257534246575343,29.863452054794553,30.051780821917816
2012,49.80363636363638,65.99570247933876,38.179008264462844,49.88743801652885,1.827685950413224,16.525509641873295,0.15600550964187324,29.9017355371901,30.11548209366391
2013,50.95557377049179,66.72967213114748,38.791803278688505,51.133606557376986,2.116502732240438,16.00688524590167,0.08002732240437163,29.91994535519127,30.119098360655737
2014,48.7390136986302,64.01336986301365,36.47189041095891,48.368164383561606,2.2524931506849346,16.382904109589052,0.14520547945205478,29.96589041095889,30.169726027397292
2015,47.552396694214885,63.28429752066119,34.23685950413225,47.04611570247927,2.2944077134986243,16.94487603305786,0.116060606060606,29.942176308539967,30.1478512396694
2016,49.82098630136989,65.83358904109586,36.47041095890409,49.524109589041046,2.3385205479452074,16.43293150684934,0.11476712328767127,29.972958904109568,30.178958904109574
2017,50.433479452054776,66.62657534246576,37.1055890410959,50.01479452054795,2.484082191780826,16.902164383561665,0.08252054794520551,29.942876712328797,30.146630136986296
