Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1987,50.07890410958905,70.84646575342468,42.99035616438356,53.258739726027464,2.606109589041101,15.33345205479455,0.08224657534246577,30.002410958904107,30.154164383561625
1988,48.15622950819672,70.13491803278691,39.80098360655736,51.65295081967217,2.2719945355191276,15.388770491803314,0.08587431693989074,30.004617486338805,30.167759562841535
1989,49.05857534246576,68.69534246575348,42.26246575342459,52.875561643835624,2.7856164383561723,14.573561643835653,0.15375342465753425,30.018383561643837,30.177041095890427
1990,51.48586301369859,72.92016438356164,43.45342465753425,54.68887671232874,2.9084383561643907,14.481780821917859,0.1291506849315069,30.020301369863038,30.176876712328752
1991,51.85967123287662,71.03731506849316,45.73819178082196,55.55731506849315,3.967205479452066,13.731315068493174,0.12873972602739728,30.019671232876707,30.16693150684932
1992,49.89672131147538,68.47016393442624,43.67934426229508,53.72885245901638,3.8680601092896225,14.303251366120254,0.10898907103825138,29.990874316939895,30.14415300546446
1993,49.88000000000001,68.65702479338852,42.203471074380175,52.372231404958676,3.4914325068870653,13.68622589531683,0.11683195592286498,29.99099173553718,30.144435261708004
1994,50.47225274725275,69.3767032967033,43.26978021978017,53.782967032967,3.206978021978033,13.256840659340678,0.16307692307692306,30.00288461538461,30.15260989010988
1995,49.98915068493153,69.48635616438355,43.002191780821924,53.75386301369867,2.202630136986305,14.270328767123305,0.1338082191780822,29.965232876712278,30.120465753424636
1996,49.01369863013701,67.76032876712323,42.043506849315065,53.17835616438356,2.0673698630137016,14.049945205479464,0.09509589041095892,29.97052054794522,30.139095890410964
1997,49.08027397260275,67.6572602739726,42.39660273972603,53.01019178082186,1.3359999999999996,13.201945205479479,0.06780821917808218,29.96367123287672,30.132958904109586
1998,52.83512328767126,71.0116712328767,46.33589041095892,56.08547945205473,1.2193698630136982,13.382712328767155,0.06210958904109591,29.953452054794496,30.10528767123287
1999,50.96361643835614,71.25676712328767,42.48980821917804,53.94816438356164,1.6181095890410961,13.513808219178102,0.039561643835616424,29.90728767123284,30.146136986301364
2000,49.87030136986307,69.42520547945203,41.72049315068493,52.91304109589035,1.4290136986301365,13.365424657534259,0.11575342465753433,30.00506849315067,30.17136986301374
2001,50.33583561643839,69.51446575342457,44.16060273972604,53.90378082191781,1.2526027397260273,13.30871232876713,0.13309589041095896,30.018876712328755,30.170767123287696
2002,50.89161643835621,69.42767123287665,45.049260273972614,55.38372602739718,1.2529041095890403,13.48219178082194,0.04602739726027397,30.000849315068503,30.17112328767122
2003,49.807178082191776,67.80816438356159,43.426794520547965,53.79084931506847,1.3959726027397252,13.191369863013712,0.15063013698630137,29.966767123287664,30.129890410958915
2004,51.147868852459034,69.04360655737707,43.382295081967264,53.45,1.3922677595628414,13.462240437158478,0.16024590163934427,30.00964480874317,30.168524590163916
2005,51.00186813186815,70.15406593406595,41.987527472527454,52.39142857142852,1.1212362637362632,13.203708791208815,0.1035164835164835,29.96903846153847,30.130769230769246
2006,51.75956164383563,71.22619178082195,41.35309589041099,52.30597260273964,1.5652602739726031,13.567424657534271,0.12479452054794522,29.973041095890416,30.1342191780822
2007,52.33161643835616,72.47287671232871,40.16657534246577,51.49572602739727,1.1301917808219173,12.986273972602755,0.09320547945205485,30.002958904109565,30.16438356164386
2008,49.75521978021981,69.35247252747254,40.47137362637364,51.668956043956044,1.0393956043956036,13.25189560439562,0.12870879120879122,29.979587912087915,30.154560439560466
2009,49.97879452054794,68.15731506849319,42.62936986301369,52.91747945205475,1.0229589041095888,13.072904109589068,0.15331506849315069,29.96882191780822,30.134767123287673
2010,49.564547945205526,69.73786301369864,41.48673972602737,51.55046575342463,0.7262465753424662,12.983424657534231,0.16199999999999998,29.958767123287696,30.112794520547936
2011,50.467013698630176,70.3390136986301,42.72010958904111,52.94756164383558,0.9484657534246571,13.86093150684933,0.13605479452054792,29.95378082191782,30.116082191780794
2012,51.779344262295105,72.78524590163929,43.44180327868853,53.97278688524592,0.801420765027322,13.533688524590174,0.10923497267759558,29.97371584699457,30.131721311475438
2013,49.720383561643814,68.70421917808224,42.193424657534244,52.47265753424653,0.8602739726027391,13.469671232876731,0.14347945205479443,30.009123287671233,30.168849315068485
2014,48.90767123287676,68.93994520547946,41.07989041095893,52.071726027397254,1.036739726027397,13.7625479452055,0.1365753424657534,29.98728767123286,30.1529315068493
2015,51.59780821917811,71.40323287671232,43.98701369863015,54.88317808219174,0.8978356164383555,13.236739726027421,0.13356164383561644,30.010164383561666,30.169589041095893
2016,52.48114754098366,72.89934426229512,43.19491803278686,53.93540983606559,0.8954644808743162,14.09142076502734,0.1116120218579235,29.999098360655736,30.158032786885236
2017,52.6055494505494,72.37093406593411,44.516428571428534,55.01675824175824,1.1595879120879111,14.347912087912107,0.13859890109890113,29.97868131868133,30.138543956043947
