2017, INVENTORY, 120000
2016, INVENTORY, 133000
2015, INVENTORY, 126000
2014, INVENTORY, 116000
2013, INVENTORY, 106000
2012, INVENTORY, 92000
2011, INVENTORY, 78000
2010, INVENTORY, 100000
2009, INVENTORY, 89000
2008, INVENTORY, 77000
2007, INVENTORY, 105000
2006, INVENTORY, 82000
2005, INVENTORY, 84000
2004, INVENTORY, 116000
2003, INVENTORY, 140000
2002, INVENTORY, 114000
2001, INVENTORY, 97000
2000, INVENTORY, 105000
1999, INVENTORY, 108000
1998, INVENTORY, 91000
1997, INVENTORY, 94000
1996, INVENTORY, 82000
1995, INVENTORY, 84000
1994, INVENTORY, 103000
1993, INVENTORY, 105000
1992, INVENTORY, 125000
1991, INVENTORY, 140000
1990, INVENTORY, 140000
1989, INVENTORY, 140000
1988, INVENTORY, 124000
1987, INVENTORY, 120000
