Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1988,60.60323287671238,78.28120547945204,53.822904109589075,63.78652054794521,0.8723013698630138,15.810958904109642,0.0,29.967178082191793,30.10000000000002
1989,60.65934426229515,78.30573770491809,52.123606557377,63.50885245901639,1.26275956284153,15.97765027322409,0.0,29.977158469945348,30.119836065573736
1990,60.80936986301374,77.05128767123291,54.30767123287664,64.28164383561642,1.5816438356164386,16.771205479452103,0.0,29.979698630136966,30.120082191780817
1991,62.72180821917808,79.72219178082193,56.24032876712332,66.40712328767133,1.2791232876712326,16.457835616438416,0.0,29.986191780821912,30.121917808219163
1992,63.197698630137,78.7373698630137,55.54843835616431,65.18657534246579,1.0838082191780822,15.63931506849318,0.0,29.967095890410942,30.101452054794528
1993,61.90950819672128,78.3701639344262,54.99426229508183,64.73147540983595,1.2896721311475412,15.546530054644846,0.0,29.965491803278695,30.096311475409845
1994,61.41101369863005,77.75254794520541,53.76767123287664,64.17068493150681,2.3361643835616466,16.236794520548003,0.0,29.97320547945206,30.110794520547977
1995,62.15073972602741,78.11501369863004,56.02926027397251,65.35227397260263,2.082547945205482,15.66953424657538,0.0,29.972493150684905,30.107808219178104
1996,61.90515068493142,78.30783561643823,55.965643835616305,65.25512328767121,2.1882465753424674,15.748410958904147,0.0,29.939808219178072,30.079945205479454
1997,61.37737704918033,78.50737704918035,54.897377049180314,65.06147540983612,2.217704918032789,17.210464480874354,0.0015027322404371586,29.961939890710365,30.10778688524588
1998,61.485479452054825,77.2564383561644,55.56126027397256,64.66926027397263,1.8733972602739737,15.335534246575376,0.0,29.953150684931504,30.09189041095892
1999,64.04739726027407,80.58224657534244,58.51326027397259,67.3806027397259,2.2324383561643857,15.288958904109597,0.038465753424657516,29.89452054794519,30.045972602739738
2000,62.577315068493235,80.37956164383552,56.29260273972606,66.1689315068493,1.5331780821917815,15.181534246575358,0.022328767123287664,29.950575342465772,30.089342465753408
2001,62.45688524590171,79.28737704918032,55.34393442622956,65.6570491803279,1.6118579234972672,16.052568306010958,0.0034153005464480873,29.970218579234974,30.113087431694
2002,61.85682191780826,77.88915068493151,56.18016438356166,65.10273972602745,1.4433972602739726,15.04043835616438,0.010602739726027398,29.977095890410983,30.112109589041083
2003,61.95052054794523,77.73824657534249,55.83791780821914,65.54904109589039,1.8209589041095893,15.61189041095892,0.01484931506849314,29.960356164383562,30.103369863013686
2004,61.59002739726024,78.09479452054794,56.37495890410957,66.1595616438356,1.4456712328767118,15.02200000000002,0.00016438356164383562,29.94605479452056,30.088575342465777
2005,63.04409836065576,78.48081967213113,57.12081967213111,66.34360655737714,1.5422677595628407,14.961639344262313,0.0003551912568306011,29.97043715846994,30.104398907103853
2006,62.571890410958886,79.82032876712336,53.787890410958866,63.92115068493155,1.2010136986301367,15.06232876712331,0.0038904109589041093,29.94109589041094,30.078712328767132
2007,62.767178082191805,79.74290410958913,53.91315068493154,64.85024657534258,1.3864109589041098,15.40263013698632,0.002410958904109589,29.95068493150685,30.092191780821917
2008,63.0403835616439,78.78816438356165,55.17758904109589,64.71561643835615,1.0867945205479448,14.759013698630165,0.06657534246575349,29.965972602739747,30.104602739726033
2009,62.49967213114754,79.75262295081968,52.45360655737702,64.14032786885254,1.4452732240437154,15.951147540983635,0.11538251366120218,29.939699453551913,30.09286885245902
2010,62.426410958904135,79.5757260273972,53.11819178082196,63.967013698630126,1.4206027397260268,15.727780821917827,0.1337534246575343,29.936109589041113,30.07890410958905
2011,61.436164383561625,78.07063013698625,52.53676712328764,62.91364383561642,1.3693424657534257,15.152739726027377,0.12936986301369863,29.93076712328769,30.07076712328768
2012,63.250465753424685,81.24010958904108,51.958301369863044,64.09720547945209,1.705095890410959,15.928493150684961,0.05942465753424656,29.929315068493132,30.0743287671233
2013,64.11081967213116,80.77704918032786,55.996065573770494,66.02590163934421,0.9803005464480865,14.886311475409851,0.11969945355191257,29.94360655737702,30.080273224043715
2014,61.73353424657539,78.69742465753421,53.37068493150686,63.43342465753424,1.3423561643835606,15.386931506849335,0.0986849315068493,29.960986301369843,30.102328767123293
2015,61.22164383561647,77.64947945205473,53.135945205479416,64.03654794520543,1.3110410958904108,15.423780821917834,0.0919178082191781,29.966054794520524,30.108712328767115
2016,63.25046575342472,79.27934246575344,56.04553424657532,65.74728767123281,1.2259999999999993,15.043013698630157,0.18802739726027393,29.960465753424646,30.09512328767121
2017,64.65770491803276,80.93147540983607,56.85622950819668,66.56344262295079,1.1376775956284155,15.209590163934454,0.13882513661202178,29.95841530054642,30.095163934426242
