Year, Data Item, Value
2017, INVENTORY, 5000
2016, INVENTORY, 5000
2015, INVENTORY, 6000
2014, INVENTORY, 6000
2013, INVENTORY, 5000
2012, INVENTORY, 4000
2011, INVENTORY, 4000
2010, INVENTORY, 5000
2009, INVENTORY, 6000
2008, INVENTORY, 6000
2007, INVENTORY, 6000
2006, INVENTORY, 8000
2005, INVENTORY, 8000
2004, INVENTORY, 7000
2003, INVENTORY, 6000
2002, INVENTORY, 8000
2001, INVENTORY, 9000
2000, INVENTORY, 7000
1999, INVENTORY, 7000
1998, INVENTORY, 8000
1997, INVENTORY, 8000
1996, INVENTORY, 7000
1995, INVENTORY, 9000
1994, INVENTORY, 11000
1993, INVENTORY, 10000
1992, INVENTORY, 13000
1991, INVENTORY, 16000
1990, INVENTORY, 16000
1989, INVENTORY, 23000
1988, INVENTORY, 25000
1987, INVENTORY, 25000
