Date (String),Temperature Sampled Low (°F),Temperature Sampled High (°F),Dew Point Sampled Low (°F),Dew Point Sampled High (°F),Wind Speed Min (mph),Wind Speed Max (mph),Precipitation (in),Pressure Altimeter Min (in Hg),Pressure Altimeter Max (in Hg)
1987,35.23556164383563,58.283452054794466,22.01024657534247,34.160000000000004,4.998356164383552,21.385260273972662,0.0416712328767123,30.006657534246607,30.168082191780844
1988,34.85442622950822,58.407377049180326,22.266229508196734,34.61983606557375,5.459945355191253,23.8359016393443,0.04303278688524589,29.972650273224055,30.1564480874317
1989,34.06307692307696,57.94818681318681,22.26862637362638,35.538186813186826,3.6343956043956034,22.89840659340666,0.0341208791208791,29.991868131868145,30.16868131868132
1990,34.64793388429751,57.18958677685951,23.166115702479342,35.217190082644585,4.160826446280993,22.438236914600587,0.05347107438016529,29.970798898071624,30.148925619834678
1991,35.00099173553718,57.91256198347109,21.51636363636364,33.84016528925618,4.563746556473831,22.42539944903586,0.05077134986225893,29.97380165289256,30.156666666666695
1992,35.463756906077315,58.47491712707189,21.473480662983448,33.63044198895025,4.416906077348069,21.053867403314946,0.035745856353591135,29.982734806629853,30.15430939226521
1993,33.50655462184876,55.06621848739498,20.943865546218476,33.63310924369748,4.475826330532217,22.586330532212916,0.046694677871148435,29.973193277310937,30.14876750700282
1994,35.9499721448468,59.8388300835655,20.941782729805016,34.01359331476324,4.1108077994429,22.75236768802231,0.030139275766016705,29.97459610027856,30.14610027855155
1995,35.2359776536313,57.645977653631334,22.277988826815644,34.1504469273743,3.692178770949723,22.799497206703933,0.04885474860335194,29.961759776536326,30.13441340782122
1996,33.51370473537606,56.75275766016706,20.497047353760447,33.82406685236765,3.428885793871869,24.32941504178274,0.03415041782729806,29.921281337047347,30.105292479108602
1997,34.35537190082646,55.490247933884234,23.369421487603297,34.95785123966945,3.574903581267221,22.79625344352622,0.043415977961432504,29.962865013774106,30.13953168044074
1998,35.470718232044206,57.94038674033145,24.762209944751362,36.56116022099446,2.839640883977904,21.628756906077367,0.017707182320441987,29.936629834254138,30.09859116022098
1999,35.67693150684934,58.94328767123285,23.391561643835608,35.828328767123246,3.632602739726031,23.359534246575365,0.0002465753424657534,29.964164383561613,30.151369863013684
2000,35.10622950819669,58.7132786885245,22.200819672131153,35.635901639344254,3.0509289617486384,22.76844262295085,0.031338797814207654,29.961366120218585,30.143661202185793
2001,35.96690410958903,59.05621917808218,22.218849315068507,34.82772602739726,2.7628767123287727,21.594684931506876,0.03021917808219176,29.972246575342478,30.140273972602763
2002,34.546136986301356,58.19715068493156,18.253917808219185,31.636054794520547,3.1923287671232923,22.54756164383563,0.004547945205479453,29.95936986301373,30.141534246575347
2003,36.51972602739723,59.133643835616425,22.028493150684938,34.886410958904115,3.00942465753425,22.47572602739729,0.02523287671232876,29.959917808219195,30.131315068493155
2004,36.16508196721313,58.30409836065571,21.597868852459,33.87819672131148,2.8936338797814263,21.982322404371605,0.030245901639344243,29.971448087431707,30.143224043715847
2005,36.20016438356164,59.34717808219178,20.47802739726028,34.04509589041097,2.7939726027397307,21.620794520547964,0.036109589041095874,29.96241095890413,30.128000000000004
2006,35.58126027397264,59.178520547945205,18.4921095890411,32.244602739726034,3.106767123287677,22.791671232876745,0.02597260273972601,29.965205479452063,30.14816438356164
2007,35.47769863013698,58.78153424657534,20.53720547945206,34.25419178082192,2.296821917808221,22.386246575342483,0.03893150684931505,29.957972602739726,30.137698630136992
2008,33.654918032786895,57.285573770491794,17.65606557377049,31.81852459016391,2.614699453551918,23.10956284153009,0.03907103825136612,29.92199453551912,30.118661202185763
2009,33.87841095890412,55.898575342465755,19.93605479452057,32.76191780821917,2.6696164383561696,21.619287671232893,0.042109589041095845,29.9518904109589,30.127287671232878
2010,34.863232876712345,57.95008219178078,20.879452054794513,34.269479452054775,2.0075342465753447,20.90443835616436,0.04161643835616436,29.92372602739726,30.10402739726028
2011,34.38980821917811,57.47221917808217,19.86750684931507,33.91145205479456,2.399753424657539,22.585780821917833,0.04632876712328767,29.92791780821918,30.113178082191773
2012,36.58852459016392,61.633114754098344,16.544590163934433,32.33049180327867,2.504781420765031,21.927431693989096,0.022677595628415294,29.95486338797814,30.135601092896188
2013,34.53232876712328,57.436219178082176,20.184602739726024,33.699397260273976,2.2438904109589077,22.079178082191806,0.046082191780821936,29.96430136986301,30.14073972602742
2014,34.48301369863015,58.08027397260277,21.57824657534246,34.478575342465746,3.217972602739731,22.886191780821964,0.04084931506849311,29.95265753424657,30.13452054794521
2015,36.89649315068495,59.816164383561585,23.50646575342465,36.02509589041092,2.618493150684937,21.218547945205497,0.04252054794520545,29.98610958904111,30.15641095890415
2016,36.69327868852461,60.637704918032775,21.68639344262297,35.24393442622951,2.9985245901639406,22.280109289617506,0.03308743169398906,29.975409836065563,30.151448087431664
2017,36.545989010989004,60.6140659340659,22.025329670329672,34.9418131868132,2.6003571428571473,22.61719780219782,0.03728021978021977,29.96543956043956,30.15024725274726
