State, Year, Data Item, Value
ALABAMA,2017, INVENTORY, 7000
ALABAMA,2016, INVENTORY, 7000
ALABAMA,2015, INVENTORY, 7000
ALABAMA,2014, INVENTORY, 7000
ALABAMA,2013, INVENTORY, 7000
ALABAMA,2012, INVENTORY, 8000
ALABAMA,2011, INVENTORY, 9000
ALABAMA,2010, INVENTORY, 9000
ALABAMA,2009, INVENTORY, 9000
ALABAMA,2008, INVENTORY, 9000
ALABAMA,2007, INVENTORY, 11000
ALABAMA,2006, INVENTORY, 11000
ALABAMA,2005, INVENTORY, 13000
ALABAMA,2004, INVENTORY, 12000
ALABAMA,2003, INVENTORY, 13000
ALABAMA,2002, INVENTORY, 12000
ALABAMA,2001, INVENTORY, 14000
ALABAMA,2000, INVENTORY, 16000
ALABAMA,1999, INVENTORY, 17000
ALABAMA,1998, INVENTORY, 16000
ALABAMA,1997, INVENTORY, 14000
ALABAMA,1996, INVENTORY, 15000
ALABAMA,1995, INVENTORY, 16000
ALABAMA,1994, INVENTORY, 18000
ALABAMA,1993, INVENTORY, 19000
ALABAMA,1992, INVENTORY, 25000
ALABAMA,1991, INVENTORY, 23000
ALABAMA,1990, INVENTORY, 29000
ALABAMA,1989, INVENTORY, 41000
ALABAMA,1988, INVENTORY, 42000
ALABAMA,1987, INVENTORY, 46000
ARIZONA,2017, INVENTORY, 22000
ARIZONA,2016, INVENTORY, 27000
ARIZONA,2015, INVENTORY, 26000
ARIZONA,2014, INVENTORY, 26000
ARIZONA,2013, INVENTORY, 29000
ARIZONA,2012, INVENTORY, 22000
ARIZONA,2011, INVENTORY, 23000
ARIZONA,2010, INVENTORY, 24000
ARIZONA,2009, INVENTORY, 20000
ARIZONA,2008, INVENTORY, 25000
ARIZONA,2007, INVENTORY, 30000
ARIZONA,2006, INVENTORY, 30000
ARIZONA,2005, INVENTORY, 36000
ARIZONA,2004, INVENTORY, 32000
ARIZONA,2003, INVENTORY, 35000
ARIZONA,2002, INVENTORY, 38000
ARIZONA,2001, INVENTORY, 43000
ARIZONA,2000, INVENTORY, 40000
ARIZONA,1999, INVENTORY, 52000
ARIZONA,1998, INVENTORY, 55000
ARIZONA,1997, INVENTORY, 42000
ARIZONA,1996, INVENTORY, 32000
ARIZONA,1995, INVENTORY, 52000
ARIZONA,1994, INVENTORY, 53000
ARIZONA,1993, INVENTORY, 55000
ARIZONA,1992, INVENTORY, 70000
ARIZONA,1991, INVENTORY, 75000
ARIZONA,1990, INVENTORY, 67000
